,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
23,不是人,陈某,欧美漫画,"历史,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7653.jpg,不是人漫画 ，套漫画主要以《三国志》作其故事骨干。陈某融合了他最专长的电影摄影取景手法以及他那比任何人也熟悉的《三国志》情节，把他心目中那无人知的三国情怀以清爽独特的笔触娓娓道来。这本史诗式章回漫画比较适合对《三国志》有一定认识的读者，何解矣？因这套是一个讲求共鸣及领悟的漫画，无一定对《三国》的认识如何能解作者所想所思？所谓[少食多滋味]，仅仅上、下两集已令在下回味无穷，得益不尽！！支持《三国志》的你如何能错过《不是人》！？,已完结,http://www.ccdm13.com/manhua/12260/
24,圣学园天使,矢泽爱,日本漫画,"爱情,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7652.jpg,圣学园天使漫画 ，小翠是个开朗活泼很有人缘的人。她就读一所刚成立的高中，小翠也是候选人之一。在候选者中，有小翠喜欢的人……？在政见发表完，要下台前，竟然在舞台上跌了个大跤！全校学生都看到她的花格子内裤。后来是飞机头帅哥——晃使原本闹哄哄的场面安静下来。结果发表，会长是晃，副会长是小翠。学生会的第一工作是举办校庆。有一天早上，小翠在晃的书包里面，发现了一份要送真琴的生日礼物。晃有女朋友是小翠非常沮丧。但是，能在舞会上，跟晃一起跳舞，就很心满意足了。校庆办得很成功，可是小翠还是很在意真琴的事情。在一个偶然的机会下，她知道晃有个叫小琴的妹妹，小翠这才安心。假日小翠跟晃、小琴三个人去海边玩，她享受着成为晃的女朋友的感觉，可是……,已完结,http://www.ccdm13.com/manhua/12259/
25,安达充短篇作品集,安达充,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7648.jpg,安达充短篇作品集漫画 ，安达充短篇作品集,已完结,http://www.ccdm13.com/manhua/12256/
26,含羞草,安达充,日本漫画,"爱情,竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7645.jpg,含羞草漫画 ，故事就发生在这几人之间，秋葉習喜欢美夏，而一次阴阳差错之下，同是拳击手的門松直人也喜欢上了由美夏变装的须藤麻里亚，从此美夏便开始了周旋在这二人之间的不停的变装生活。（是不是感觉有点像橙路？）秘密虽然一直被维持着，但门松直人却逐渐对美夏与麻里亚的关系产生了许多的疑问。最后因为知香的一句口快，秘密被揭穿，门松直人和秋葉習知道了中里美夏和須藤麻里亞其实是同一个人时，他们会怎么做呢？而美夏最终会选谁呢？安达老师的作品总是充满了各种意外，这部也不例外，不看到最后的话，恐怕很难猜测美夏会选谁吧。,已完结,http://www.ccdm13.com/manhua/12255/
27,庸才,古谷实,日本漫画,"生活亲情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7644.jpg,庸才漫画 ，中学生住田很善良，向往普通人的生活，希望平淡地过完一生。没成。猥琐的夜野喜欢小偷小摸，后来卷入一宗谋杀案，因为他想帮住田还钱。茶沢喜欢住田，一直鼓励住田，哪怕他收容了变态狂，还杀了人。喜一想当漫画家，不分寒暑的苦练，终有所成。赤田想当漫画家，结果错把GAY当成漫画家，出卖了自己的青春……,已完结,http://www.ccdm13.com/manhua/12254/
28,玛丽雅,安彦良和,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7683.jpg,玛丽雅漫画 ，在荒芜的世界里呈现的一缕曙光！以嫌恶的男人（灾难）做对手，女剑士玛丽雅的剑发出闪光！安彦良和拥趸期待的女英雄式幻想故事飘爽地登场！,已完结,http://www.ccdm13.com/manhua/12252/
29,圣女贞德,安彦良和,日本漫画,"冒险,历史,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7681.jpg,"圣女贞德漫画 ，一四三一年五月三十日, 在法国北部卢昂城的广场上, 一个少女被处以火刑。这个少女就是带领法国军队大败英军的圣女贞德。在贞德的帅领下, 不但解放了被英军包围的法国奥尔良, 更将流落的太子迎回法国登基。然而创造了奇蹟的贞德, 等待着她的郤是残酷的命运....",已完结,http://www.ccdm13.com/manhua/12250/
30,神之左手恶魔之右手,楳图一雄,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7680.jpg,"神之左手恶魔之右手漫画 ，　　内容简介： 　　1,生锈剪刀。大暴雨后，一个神秘的地下室出现在了小镇。与此同时镇上怪事频频。一个女孩莫名其妙地，五官不断冒出泥土，最后一把生锈的剪刀更是刺破双眼伸了出来。这一切原来都跟数年前的一系列凶杀案有关…… 　　2，消失的橡皮擦。传说，人死了之后的面貌会跟活着时候大不相同，就为了看看怎么个不同法，几个小学生联合着把老师勒死了。为了掩人耳目，他们把老师埋了起来。谁知次日，老师竟然完好无损地出现在了教室里，然后那些学生们却一个个消失了…… 　　3，蜘蛛女王之舌。关于，几个人去到山村，然后在那里遭遇鬼魅一般的妖怪蜘蛛袭击的故事。 　　4，黑色画册。比较受好评的一个故事。为了给病重的女儿消遣解闷，父亲自己动手编绘画册给女儿看，为了充实题材寻找灵感，他在外面频频杀人，然后把杀人的故事画进书里（太恶趣味了……），画到最后，他开始瞄准女儿下手了…… 　　5，影亡者。更加没什么好介绍的。关于背后灵的故事。平淡无奇乏善可陈，重点是背后灵会以“人面疮”的形象出现在小孩子的头上。另外，背后灵的形象与其说像鬼魂不如说像外星人…… 　　从创作年份来看，《神之左手恶魔之右手》是谋图介于《漂流教室》和《14岁》之间的作品，这部6本完结的单元剧据说是人气名作，看了它之后的最大感想是，谋图一雄果然还是个恐怖漫画家…… 　　这部作品的题目很好听，口味却重得厉害。今次谋图不再扬什么环保的大旗，主题就是纯粹为了吓人。作品里无处不见爆浆喷射的血液，裸露的内脏，断裂的肢体，总之就是，怎么恶心怎么视觉怎么来。刻意的成分非常重，但由于恐怖作品本就是惊悚至上，似乎也没什么好过多指责。况且各花入各眼，什么人会害怕什么都不好说。虽然我始终认为，高层次的恐怖应该是心理上的。",已完结,http://www.ccdm13.com/manhua/12249/
31,神武,安彦良和,日本漫画,"冒险,历史,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7679.jpg,神武漫画 ，公元二世纪后半叶，漂流到于投马海边的一艘破船上，有一个男童，这名男童获救后， 就在村上的梅育之下长大，并为取名为弃儿，但是他……,已完结,http://www.ccdm13.com/manhua/12248/
32,近所物语,矢泽爱,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7678.jpg,"近所物语漫画 ，《近所物语》又名《芳邻同盟会》是一个讲述着想成为时装设 计师幸田实果子与青梅竹马的邻居山口熏一起在矢泽学园和朋友们一起度过的青春时光,他们组建了一个叫AKINDO的社团。 故事从实果子和熏两个人的青梅竹马关系开始,一天一天地长 大,直到熏的身边出现了舞会女孩茉莉子学姐,才让实果子和熏开 始去重新认识两个人的关系,实果子一直依赖着熏,在她十六年的 生活里都是和熏一起度过,当熏意识到自己喜欢的竟是住在对面的 实果子,并没有跟实果子表白,和一群朋友组成了AKINDO的社团时 在制作招牌BERRY上,实果子看见了和自己很相似 的 HAPPYBERRY 她感到熏的心意,就像她自己所说的：从很久以前,我就知道,迟 早会有这一天。 这个故事中除了实果子和熏,穿插着茉莉子学姐与勇介,勇介 与步三角恋,还有朋友们小陵、莎莉、次郎、新太郎、的友情演出 ,及实果子喜欢的乐队“曼波”《圣学园天使》里出现的中川健。 实果子的父母也是在故事中占有一定的份量,在《近所物语》里的 人物都是让人喜欢,很单纯的朋友故事,最熟悉的青梅竹马情节, 使人看到勇气,鼓励,友情,爱情,亲情,梦想。就像看一个美丽 的童话故事。",已完结,http://www.ccdm13.com/manhua/12247/
33,猫目小僧,楳图一雄,日本漫画,"东方神鬼,恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7677.jpg,猫目小僧漫画 ，日本有一个传说，每隔三百年便有一头猫妖诞生。某个深夜，群妖齐集，迎接猫妖降世。另外，一位摽梅已过的村姑美美忽然得到一名半人半猫的婴儿。村民皆认为他是妖孽，并给他取名「猫目小僧」。猫目小僧受尽村民欺凌，独自居於仁王庙内，美美定时为他送饭菜。自从村里受到大海啸蹂躪后，猫目小僧唯有孤身上路，四处流浪。若碰见妖怪作恶，便挺身而出，斩妖除魔！,已完结,http://www.ccdm13.com/manhua/12246/
34,楳图一雄恐怖剧场,楳图一雄,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7676.jpg,楳图一雄恐怖剧场漫画 ，　　收录了楳图一雄的《婴儿少女》、《愿望》、《被夺去的心脏》、《蛇》、《绝食》、《昆虫之家》、《妈妈好可怕》、《花斑少女》、《蛇少女》等多部作品 看了后老是不寒而悚。 　　楳图一雄：日本殿堂级人物。恐怖漫画创始人和佼佼者。14岁创作漫画，1955年开始在大阪发表租借漫画作品。1956年首次发表恐怖题材作品《无底的小镇》。成名作《飘流教室》《猫目小僧》。1975年《飘流教室》获得第20届小学馆漫画赏。作品多揭露人性黑暗面，但角色却为人单纯善良。作为第一代恐怖漫画大师，深刻地影响着后辈。1996年，楳图一雄与养老孟司探讨脑部记忆和文化的科学性著作《唯脑论》发行，作品中有楳图一雄绘制的大量插图。此外，楳图一雄还自己组织乐队并作词作曲。曾出版《黑暗专集》。,已完结,http://www.ccdm13.com/manhua/12243/
35,GO!GO!茂利飞车党,古谷实,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7675.jpg,"GO!GO!茂利飞车党漫画 ，颓废少年关口,为要亲近“劲爆”身材美少女,毅然踏上“飞车”不归路。日本漫画鬼才古谷实又一创世巨献遗传“稻中”优良血统、秉承“废柴”生活风格！！...",已完结,http://www.ccdm13.com/manhua/12240/
0,人鱼系列,高桥留美子,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7674.jpg,人鱼系列漫画 ，很久以前在一个靠海的渔村有这样一种流传，凡是人类吃了人鱼肉就可以长生不老，而且受伤之后会很快恢复，练就一个不死之身的说法，于是，村里人便疯狂的寻找人鱼并捕杀它。勇太无意中碰到了一个吃过人鱼肉的怪物老伯，为了满意他想变成真正的人愿望，砍下了他的头并埋葬了他，却不想由此而引起了一场灾难的降临，能长生不老真的很快乐吗？,已完结,http://www.ccdm13.com/manhua/12234/
1,尼禄传,安彦良和,日本漫画,"历史,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7673.jpg,"尼禄传漫画 ，尼禄的母亲将他的继父毒死,使他登上王位。才能出众的尼禄立即适应了罗马最高统治者的位置。但他母后权欲同样极其旺盛,心有不甘地威胁说要将王位交给其弟,于是尼禄毫不犹豫的将自己的弟弟毒死。后来又杀死了母亲和自己的三位妻子。",已完结,http://www.ccdm13.com/manhua/12233/
2,月光淑女,桂正和,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7643.jpg,"月光淑女漫画 ，　　一个拥有古老建筑和现代科技的城市, 　　一个奇特的女孩, 　　内向腼腆冒冒失失的白天,， 　　晚上，奔放恶作剧的幻影女神, 　　潜伏的危机…… 　　在欢快明朗的气氛中，作者追求了一种理想化的双重人格。其实这正是人类所追求的，白天的生活忙碌而单调，夜晚的放松甚至是有放纵的欲望。 　　神奇的眼影，正好满足了这种需要，肆意的玩闹，无视白天的一切，规矩和教条都在夜里变得毫无意义…… 　　虽然这本书在背景和服饰风格上都有蝙蝠侠的痕迹，但作者一贯的细节刻画和情感描写却在书里没有得到表现。这是与桂正和其他作品风格迥异的一部漫画。",已完结,http://www.ccdm13.com/manhua/12232/
3,足球小将-海外激斗篇,高桥阳一,日本漫画,"竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7642.jpg,足球小将-海外激斗篇漫画 ，不了解足球小将漫画系列的朋友，先看一下故事前情提要： 成长篇：被称为足球小将的大空翼小时候在一次车祸中被足球所救，和足球结下了不解之缘。大空翼的梦想是带领日本队拿到世界杯冠军。六年级时随家人转学到南葛市，加入了南葛小学，邂逅了恩师罗伯特以及众位此后一起征战的伙伴们，一句“足球是朋友”，开启了大空翼神话般的历史。恩师罗伯特答应大空翼如果拿到全国冠军就带他去巴西。在困难重重之下，大空翼率领南葛小学拿到了全国少年足球大赛冠军，但是罗伯特却爽约一个人回去了。由爱漫画收集自互联网－爱漫画，让你爱上漫画！初中时进入了南葛初中并拿到了三连冠，而后他率领的日本少年队在法国少年锦标赛中一举夺魁，再会恩师罗伯特，前往巴西，加盟了第一支职业球队圣保罗。（成长篇完结） 世青篇：三年后，世青杯比赛在布鲁尔加共和国举行，日本青年队再次集结，但是一个名叫贺茂港的人带领的RJ7队员将日本队打得体无完肤，主教练见上辰夫也突发疾病，贺茂港在此关头接下球队。面对人员不整的情况下，日本青年队奋力战斗，终于从亚洲区突围，但是布鲁尔加共和国发生内战，世青赛面临取消。由爱漫画收集自互联网－爱漫画，让你爱上漫画！日本足协的片桐宗政提议日本接任主办，就这样世青赛得以顺利举行，而日本也不负众望，一路过关斩将，最后击败了罗伯特率领的巴西队，大空翼超越恩师。最后的获胜感言，大空翼呼吁全世界，停止无畏的战争，如果想战斗，就用足球来决胜负。（世青篇完结） ROAD TO 2002：一年后，大空翼转会到巴塞罗那，而日向小次郎也到尤文图斯发展。而两个人却并非一帆风顺，大空翼因与队伍中的世界第一球星利华尔位置重迭而被编到B队，日向也因为身体平衡原因，只在揭幕战上登场31分钟，即被换下，更被租借到意丙雷吉亚纳队。最先登陆海外的若林也处于危机之中，在汉堡对阵拜仁慕尼黑的比赛中因为漠视主教练的战术而沦为替补。日本球员在海外面临前所未有的危机。此时的日本J联赛正在如火如荼的展开，在世青赛中受伤的岬加盟了磐田山叶，并在揭幕战中击败了浦和红宝石。由爱漫画收集自互联网－爱漫画，让你爱上漫画！西甲方面，巴塞自联赛开启后的战绩非常糟糕，球队核心利华尔更是受伤无法再战，而大空翼正好在B队出色的完成了主教练范萨尔交给他的题目--10个进球10个助攻，被召回到巴塞罗那队。迎接大空翼的处子战就是世界上德比大战的巅峰，巴塞罗那对皇家马德里，面对拥有银河战舰般豪华阵容的皇家马德里，在大空翼的出色发挥下，以6比5战胜了皇马，大空翼更是拿到了3个进球和3次助攻。（ROAD TO 2002完结） GOLDEN-23：德比大战过后，日本队也开始了奥 运 会的比赛，主教练吉良耕三决定不召集海外球员，只用国内的球员来征战奥 运亚洲区预选赛。第一预选的比赛因为都是弱旅，日本队一路高奏凯歌，但是到了第二预选却受到了澳大利亚队的强力阻击，最后一场比赛中，日本队必须净胜澳大利亚三个球才能出线。由爱漫画收集自互联网－爱漫画，让你爱上漫画！最终岬太郎率领的日本队在最后阶段以4比1战胜对手，顺利进军马德里奥 运 会。（GOLDEN-23完结） 奥运会预选赛结束后紧接着，意丙的联赛也将近尾声，日向已来到意大利9个月，其带领的雷吉亚纳队截至联赛最后一轮位于第一而葵带领的阿尔卑斯队则位于第二位，两队都有机会升至意乙，而最后一轮，两队开始了面对面的对决……,已完结,http://www.ccdm13.com/manhua/12231/
4,零秒出手,井上雄彦,日本漫画,"竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7640.jpg,零秒出手漫画 ，2XXX年，在地球诞生的体育运动“篮球”已经成为了全宇宙流行的体育运动，其中“宇宙同盟”是最强的篮球组织。 　　然而，在那里活跃的优秀篮球运动员却没有一个地球人，都被外星人占据着。迷一般的老人ヨシムネは担心地球篮球的未来，用非常优厚的条件去搜罗地球篮球强人，计划组成一支强队打进“宇宙同盟”。 　　贫穷少年ながら凭着出众的速度和弹跳力成为了地球选拔队的一员，并且和其他有个性的地球最强的队友们一起以进入“宇宙同盟”为目标。故事便由此而展开……,已完结,http://www.ccdm13.com/manhua/12229/
5,东京玩具箱,小沢高広&妹尾朝子,日本漫画,"宅男腐女,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7639.jpg,"东京玩具箱漫画 ，是天才电玩制作人还是天兵!? 正宗「大东京玩具箱」前传，带您一窥业界全貌的热血电玩物语！因为工作能力太强，而被母公司外调到关系企业的月山，第一次来到了破烂的小电玩工作室G3，心中百般抗拒的她，和落魄的「前」天才电玩制作人太阳，展开了轰轰烈烈的电玩创作之旅！故事发生在「大东京玩具箱」之前数年… 当年外表亮丽、工作能力超强的月山，居然被长官忌妒而远调到关系企业上班，一下子从华丽大厦，跳转到如废墟般的电玩工作室G3，心情沮丧的她将如何重新站起？没想到G3这不起眼的小工作室，竟也是卧虎藏龙之地。曾经是销售百万套的游戏制作人「天川太阳」，为何窝在这小地方作一些无聊的杂活？太阳和月山这两个冤家，即将在东京碰撞出震撼电玩界的火花！在世界电玩之都?东京，有多少游戏公司在这里拼搏著，而过去背负著传奇的制作人「太阳」，将带领著各有特色的伙伴们，做出最棒的游戏软体，发出太阳一样的光芒！ ""符合灵魂的渴望,这才是好游戏!""",已完结,http://www.ccdm13.com/manhua/12228/
6,洗礼,楳图一雄,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7638.jpg,洗礼漫画 ，着名的女明星应为害怕岁月带来的衰老，预备了一个“女儿”，进行换脑手术。十分诡异的题材，但结局是绝对出于意料的。在此卖个关子。虽然题材的诡异和不可思议，但排除所谓换脑手术的可实行性，其余所有的情节安排十分之合理和符合逻辑，这样说的前提是需要读者有绝对仔细的观察力，和细致的阅读。,已完结,http://www.ccdm13.com/manhua/12227/
7,废柴同盟,古谷实,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7632.jpg,"废柴同盟漫画 ，夫两兄弟在母亲死后离家出走,来到东京谋生。在东京他们认识了伊藤茂、进藤知良等人。在东京这个大城市里,除了拥有所谓“彻底自由”而一无所有的他们,将如何在这个城市里生存？由此上演的一幕幕搞恶+爆笑的“生存活剧”相信亦能让你捧腹不已",已完结,http://www.ccdm13.com/manhua/12221/
8,大东京玩具箱,小沢高広&妹尾朝子,日本漫画,"搞笑,宅男腐女,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/7/3322.jpg,大东京玩具箱漫画 ，一位毕业后面试工作老是碰壁的女孩走向最后一次的面试机会，不然就要回乡下了满怀著对製作电玩，想当游戏企划的热情下她来到一个看来残破不堪的小型电玩游戏製作公司应徵可是长得像流氓的游戏製作人看到她发现他要找的是画原画的傢伙，並不是要找游戏企划这样的错误让他十分苦恼，不好意思回绝这热情的女生在眾人的反对下，这个有著传奇称號的製作人「太阳」做出了一个决定～「妳先来试用三个月！」从此之后，这个看来笨拙却充满梦想女孩將和这家和小虫一样一捏就死的小电玩公司展开一波波充满欢笑和热泪的故事,已完结,http://www.ccdm13.com/manhua/12216/
9,非常家庭,北条司,日本漫画,"爱情,生活亲情,伪娘,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7604.jpg,非常家庭漫画 ，等待大学开学、孑然一身的柳叶雅彦——某一天，若苗家的舅父夫妇，为了要收养他而到访，一直憧憬着天伦之乐的雅彦，接受了他们的好意，但是不久他发现自己的舅父空先生，其实是个女的，而舅母紫小姐竟然是个男的。就这样，一个关于变性家庭的故事开始了——,已完结,http://www.ccdm13.com/manhua/12199/
10,魔法使的条件,山田典枝,日本漫画,"魔法,治愈,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7603.jpg,魔法使的条件漫画 ，這是存在於現代的「魔法使」的故事。 18歲的少女．菊池夢為成為國公務員的魔法使，向嚴厲的研修挑戰。 為的是在尚未忘記夢想的你內心深處，開出一朵迎向未來的「希望之花」……,已完结,http://www.ccdm13.com/manhua/12198/
11,魔法使的条件 太阳与风的坡道,山田典枝,日本漫画,"魔法,治愈,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7602.jpg,魔法使的条件 太阳与风的坡道漫画 ，主角松尾波天生是个魔法使，但是她既不擅长使用也很讨厌魔法。甚至连自己将来要做什么都不知道。某天，一名不可思议的转学生出现在她面前......以充满阳光与风的城市——长崎为舞台，描写活在现代的魔法使少女的心路历程。感觉不错，推荐给大家。有些搞笑！,已完结,http://www.ccdm13.com/manhua/12197/
12,魔法使的条件-夏日天空,山田典枝,日本漫画,"魔法,治愈,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7601.jpg,魔法使的条件-夏日天空漫画 ，《魔法使的条件》是角川大映映画公司首次从事TV动画的尝试。原本这部作品是要拍成电影的，但因为制作组人员在读过剧本后认为拍成动画会更好，于是就开始了动画制作的企划。该作品的脚本由原作者山田典枝担任，这也是她动画脚本的处女作，并且整部作品的全部脚本都由其亲自独立完成。在背景设定上是一部相当贴近生活的片子，视角以一个正在进行研修的小女孩菊池梦切入，环境也只是导师的公寓、Bar、学校……一个社区那么大点，是一部让人感到“水产”宁静的片子。故事的舞台在现代的东京。在这个世界中魔法使的存在被认为是很普通的事情。只要通过正式的办理手续，谁都可以成为拥有魔法的魔法使。虽然如此，但它和我们所住的世界还是没什么区别的。电视、移动电话、电脑这些东西也都有，汽车也是靠汽油开动的.为了营造画面真实感，片中的场景就像建筑广告，而熙来攘往的人群、电车，都与现实世界无,已完结,http://www.ccdm13.com/manhua/12196/
13,14岁,楳图一雄,日本漫画,"恐怖,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7599.jpg,14岁漫画 ，外星人以十字架救世主姿态降临地球来毁灭人类了！漫画从一开始的鸡肉变成人体的惊悚情节，到目前导出书名「14岁」的人类毁灭正题，一路转折多次，读者根本难猜出故事走向。经典漫画，值得耐心好好读完。,已完结,http://www.ccdm13.com/manhua/12194/
14,娱乐金鱼眼,猫部猫,日本漫画,"搞笑,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7598.jpg,"娱乐金鱼眼漫画 ，娃娃！新田舍中学的学生是个乐天派的小女孩，也是小荳荳的玩伴常常两个一起约去买波卡吃！做事效率超快，有时会为了一点点小事，而郁卒得让人以为发生了什么大事～是个可爱的小女孩哟！《娱乐金鱼眼》是猫部猫 (Neko Nekobe) 1990 至 1993 年的作品。这卡通在日本很受欢迎, 在日本播出以后在香港和中国也有播放。 内容是关于故事中的四个主角: 藤之宫千岁, 华美子, 葵彦, 北田秀一和所有在他们身边发生的故事, 是一个校园式卡通。这故事的开始讲述藤之宫千岁的富有父亲过世后, 藤之宫家也继而破产了, 而剩下来给千岁的, 只有一条粉红色的金鱼 (金比)。千岁被迫离开以前就读的名校「都会学院」, 而转到即将拆卸的「乡村中学」, 千岁也就认识了「乡村中学」的学生: 华美子, 葵彦和秀一。 就在千岁转校那天, 她发现原来她的家族律师田中山除了想偷走金比之外, 还扣起了千岁父亲数以百万计的遗产。千岁又变得有钱起来了, 可以回到以前的「都会学院」了, 但一想到把她赶走的由梨香 (都会学院学生会会长) 的嘴脸时, 千岁决定用父亲的遗产来重建「乡村中学」, 变成「新乡村中学」。 就是这样,「娱乐金鱼眼」带出了有钱人和穷人之间的关系; 就像千岁, 一个宠坏了的千金小姐和「新乡村中学」其它同学的关系; 又或是千岁, 一个普通人, 和由梨香, 一个十分富有的人的关系。",已完结,http://www.ccdm13.com/manhua/12193/
15,犬娘艺可丽娜,金智玟,其他漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7596.jpg,犬娘艺可丽娜漫画 ，由于动物王国狗王子伦瑟被人类杀害，因此派狗公主艺可丽娜来到人类世界，欲进行“人类动物化作战”，要将全世界的人类都变成动物，但后来艺可丽娜发现并非所有人类都是如此凶残险恶，因此改变主意暂缓进行计划，但没想到兽神奇温却出现，并且已经将人类动物化，他想强制将艺可丽娜带回动物王国，于是与修勒开始激烈的冲突…,连载中,http://www.ccdm13.com/manhua/12192/
16,今天开始一家人,藤こよみ,日本漫画,"生活亲情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7595.jpg,今天开始一家人漫画 ，苑田家跟明井家因为父母亲再婚而成为了一家人。没想到苑田家的长男遥斗跟明井家的长女千紘两人不但同年而且还编入同一个班。父母亲藉着出国度蜜月的机会，接受公司外派飞到国外过新婚生活，被蒙在鼓里的五兄妹被迫在还不熟悉的情况下要一起共度生活。因一场误会让遥斗明白，原来外表笑脸迎人的千紘其实真正的面目是…？,连载中,http://www.ccdm13.com/manhua/12191/
17,虹色辣椒,安达充,日本漫画,"冒险,生活亲情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7593.jpg,虹色辣椒漫画 ，未来，一个不知名的星球，七味在母亲去世后，只身来到江户，与同父异母的六个兄弟姐妹胡麻、麻次郎、芥子、菜种、陈皮、山椒同住一个大杂院中，为了拜祭各自母亲，七人踏上了惊险刺激的归乡之旅，尽管七味一再声称与他们没有任何关系，但他的一切行为却表现出对弟妹的关心和爱护。在这部作品中，安达一反青春校园的生活剧格式，将故事的主人公们在虚构的世界里，并相当直接的提出环保、生存空间的严肃问题。,已完结,http://www.ccdm13.com/manhua/12189/
18,katsu!,安达充,日本漫画,"爱情,竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7592.jpg,katsu!漫画 ，令里山活树开始学习拳击的，是跟他同班的一位美少女同学．水谷香月。偏偏香月最讨厌的，就是她那曾经当拳手的爸爸，以及拳击这项运动。这是一个由误会开始，关於两个「KATSUKI」的青春拳击故事！,已完结,http://www.ccdm13.com/manhua/12188/
19,魔界学园,菊地秀行&细马信一,日本漫画,"冒险,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7589.jpg,魔界学园漫画 ，为了拯救校花何玉涵，帝陵高中出现了50年来第一个转学生——谭隼人。他似乎有神秘、不可思议的力量，但没有人知道他来自何方…。,已完结,http://www.ccdm13.com/manhua/12185/
20,H2,安达充,日本漫画,"爱情,竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7588.jpg,H2漫画 ，安达充先生的热血高校棒球漫画《H2》，那个国见比吕、橘英雄两个HERO的激斗传奇，以夺取高校甲子园棒球冠军为目标的火热物语。比吕、雅玲、英雄、春华四角恋的故事，中间穿插了棒球。比吕和雅玲绝对是相爱的，只是他们都没有办法摆脱春华和英雄，而英雄和春华也无法离开雅玲和比吕。,已完结,http://www.ccdm13.com/manhua/12184/
21,美雪美雪,安达充,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/16/7587.jpg,美雪美雪漫画 ，讲述若松和美雪的爱情故事。若松和美雪是两个没有血缘关系的兄妹，若松把对美雪的爱一直藏在心里，公开承认喜欢同班同学鹿岛美雪，就在妹妹美雪和童年的朋友优一准备结婚的时候，若松终于向妹妹美雪说出“美雪，我喜欢你，我离不开你”。这对没有血缘关系的兄妹一下子变成了夫妇，真是皆大欢喜。 　　>>点击进入妹控专题,已完结,http://www.ccdm13.com/manhua/12183/
