,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
23,梦梦公主,水泽惠,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/18/8613.jpg,梦梦公主漫画 ，每個人心中都會有秘密，鈴木奏的秘密就是那個在幼稚園時和她合演白雪公主和王子的青梅竹馬——柴田航生。如今，幼幼時玩伴的航生轉學回來了，喜出望外的奏卻見到航生一臉茫然不認識她的表情……,已完结,http://www.ccdm13.com/manhua/13202/
24,Touch,安达充,日本漫画,"爱情,竞技,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/18/8585.jpg,Touch漫画 ，上杉達也與和也是對雙胞胎兄弟，從小就和住在隔壁的淺倉南十分要好。但是隨著兩小無猜的童年生活過去，三人間青梅竹馬的感情，也因青春期的來到，起了微妙的變化。 小南的夢想，是希望自己就讀的明青高中棒球社，能打入甲子園．她與運動成績也很頂尖的和也，是明青高中被公認的一對。相反的，身為哥哥的達也，總是吊兒郎當的過日子．雖然為雙胞胎兄弟，可是不管是讀書、運動，還有受歡迎的程度，都比不上自己的弟弟。 和也為了實現小南的夢想，努力成為棒球社的王牌投手；另一方面，達也偷偷暗戀著小南．向來體貼弟弟的他，選擇遠離棒球，開始遠離小南。小南雖然明白和也的心意，卻很清楚她一直在意的，是那個一點都不可靠的哥哥--上杉達也。 三人之間的關係就像三角傳球一樣。 明青高中在王牌投手和也的沈著應戰下，順利打入高中初賽；達也感受到小南的真誠後，亦決心不再逃避，坦然面對他的人生。未料，就在甲子園決定戰役的比賽當日，卻傳來和也不幸車禍身亡的消息。 和也的突然去世，讓甲子園的夢想和達也的愛情，都退回原點．達也和小南之間，也因此豎起了高牆。最後，達也決定參加棒球隊完成三人的夢想．但是，只有當達也心中不再擔負著和也，為他自己而投時，愛與夢想才能平靜他的心靈……,已完结,http://www.ccdm13.com/manhua/13194/
25,我的女神,藤岛康介,日本漫画,"爱情,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/9/4117.jpg,"我的女神漫画 ，事的男主角叫森里萤一，一个普通的大学生。一天，萤一打电话错拨了号码，居然拨通了救济女神事务所。一位美丽的女神通过镜子出现在他面前，答应实现萤一的一个愿望，她就是故事的女主角贝璐。因为个子不高的缘故，萤一与女性没有缘分，所以他许愿希望能有一位象贝璐这样的女性常拌身边。贝璐误以为萤一希望自己能常拌他身边（当然没有人比贝璐更象她自己），所以接受了萤一的愿望答应与他永远在一起。有这么美丽而又法力强大的女神在身旁，萤一的生活从此不再有半点安宁。之后又先后出现了萤一的妹妹森里美惠，贝璐的姐姐女神乌璐和妹妹女神苏璐，反面角色一级非限定魔玛拉等其他人物。
要真正体会有趣的故事情节，你必须自己去欣赏这部漫画。《我的女神》目前仍在连载中，国内单行本发行到第十六本。另有3CD的OVA版VCD，也是很不错的东东，不过最好先看过漫画再欣赏
故事概要
故事的男主角叫森里萤一，一个普通的大学生。一天，萤一打电话错拨了号码，居然拨通了救济女神事务所。一位美丽的女神通过镜子出现在他面前，答应实现萤一的一个愿望，她就是故事的女主角……",已完结,http://www.ccdm13.com/manhua/12971/
26,最终兵器彼女,高桥真,日本漫画,"科幻,爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8072.jpg,最终兵器彼女漫画 ，最终兵器彼女的开篇是一个洋溢着爱与羞涩、美丽与隐晦的普通爱情故事，整团整团清淡明亮的色泽下一个叫修次的男孩站在地狱坡上回头看他的小女朋友笨拙而努力的追上他，三步一羁绊 他的小女朋友——千濑，不漂亮，不性感，不聪明，不是大众情人却偏偏顶着个蘑菇头圆脸蛋圆眼睛笨到你没法子不爱…就这样个女孩，从外到里怎么看都是满足传统男猪脚才能发挥的良好素材，而，我是说而，我们看到的是，在片中的绝大多数时间里，那个无奈的，那个无力的，那个间接被保护的恰恰是那个叫做修次的男朋友，有什么法子呢？他柔弱的小女朋友在一夜间成了主宰人类生死存亡的『最终兵器』。扎幌空袭。他也许都不曾在任一天里忘记过，在那个充斥了灰云、导弹、战火、血、哭泣、战争、死亡和绝望的空间里，他抬起头愕然看着眼前那个熟悉的面孔，和手臂上伸出的唐突骇人的庞大兵器… 千濑，女朋友。女朋友？,已完结,http://www.ccdm13.com/manhua/12967/
27,最后的夏,高桥真,日本漫画,"冒险,爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8073.jpg,"最后的夏漫画 ，(最终兵器彼女)作者高桥真最新作品//将世界儿童文学杰作(汤姆历险记)大胆地以日本为舞台,把经典故事从新演绎!!让大家变成汤姆，直往暑假这个王国冒险去吧!!",已完结,http://www.ccdm13.com/manhua/12966/
28,罗德岛战记法理斯的圣女,山田章博&水野良,日本漫画,"冒险,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8077.jpg,罗德岛战记法理斯的圣女漫画 ，《罗德岛战记》又回来了，但是这一次我们看到的不再是笨拙的潘恩和幽雅的蒂德，而是那个以前只 流传在吟游诗人口中的时代，赤发的佣兵、白银的骑士、荒野之贤者、铁之国王……，作为一部前传性质的作品， 那些以前在故事中属于传说般存在着的英雄，包括卡恩、贝鲁特、渥特等经典人物形象都将活跃在我们面前， 我们会看到人类、矮人、妖精摒弃弃种族的成见、国家的对立，并且跨越不同的信仰，一起为罗德斯岛的存并肩作战。,已完结,http://www.ccdm13.com/manhua/12964/
29,罗德岛战记英雄骑士传,夏元雅人,日本漫画,"冒险,魔法,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8076.jpg,罗德岛战记英雄骑士传漫画 ，位于亚列克拉斯特大陆南方的诅咒之岛“罗德斯”。弗雷姆国的见习骑士，也是炎之部族直系后裔的史派克，在晚宴之夜发现暗黑妖精的踪影。急于抢功求表现的史派克不慎中计，使宝物“魂魄水晶球”被盗走。受命讨伐盗贼的史派克组成追踪小队并立刻出发。但在途中耳闻有神秘的圣少女也与追踪队一样地在追寻盗贼的下落……,已完结,http://www.ccdm13.com/manhua/12961/
30,地上最强新娘,大高忍,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8094.jpg,地上最强新娘漫画 ，患有暴力恐惧症的高中生“犬塚孝士”，在他的身边突然出现了一位被誉为地上最强的新娘“九头龙桃子”。桃子拳可割地，腿可开天！！连载开始不久之后就非常有人气成为各方面的话题。史上最强热血漫画。,已完结,http://www.ccdm13.com/manhua/12956/
31,魔法萌美眉,井上和郎,日本漫画,"搞笑,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8093.jpg,魔法萌美眉漫画 ，六花直樹是一名標準的御宅族，雖在網路遊戲上排行世界第二名，但現實中卻毫無作為 ，又不受女生歡迎。度過如此灰暗青春時代的他，卻在未來解析了魔法的秘密，並成為 一國之君！但因青春時代的陰影，而使他成為胡作非為的魔王，並在眾叛親離下遭受公 開處刑。為了改變未來，直樹的女兒魔法少女伊呂波自未來而來，展開改造父親的大 作戰！,已完结,http://www.ccdm13.com/manhua/12955/
32,欢迎加入NHK,大岩ケンヂ,日本漫画,"爱情,宅男腐女,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8091.jpg,欢迎加入NHK漫画 ，主角佐膝达广(22岁)之一个标准的ACG OTAKU，大一的时候就从大学退学，从此在家中过起了沉溺于ACG的生活，典型的家里蹲废柴=_=然后某一天，在他面前出现了一个神秘的美少女小岬......,已完结,http://www.ccdm13.com/manhua/12953/
33,天地无用,奥田人志&梶岛正树,日本漫画,"搞笑,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8090.jpg,"天地无用漫画 ，如果天地不是受到好奇心的驱使而解开。 关着魉呼的封印的话，从外星球来的 阿重霞、砂砂美、美星以及鹫羽......等一群人 就不会闯进他的生活,改变了他的命运........",已完结,http://www.ccdm13.com/manhua/12952/
34,Dr.猫柳田之科学的青春,柳田理科雄&笔吉纯一郎,日本漫画,"搞笑,科幻,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8089.jpg,Dr.猫柳田之科学的青春漫画 ，故事以昭和30年代为背景，比空想科学大战更爆笑，点子更创新，内容更天马行空，媲美魔法的科学世界，比魔法更为迷人，题材引人入胜，在半空中洗澡？利用东京铁塔作弊？在淹大水的日子还能将衣服晾乾？看猫柳田如何一个个地解决难题，千奇百怪的idea绝对让你拍案叫绝！,已完结,http://www.ccdm13.com/manhua/12951/
35,金色的卡修,雷句诚,日本漫画,"搞笑,热血,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8085.jpg,金色的卡修漫画 ，高岭清鹰由于智力超群而被中学的同学们疏远，为此他自暴自弃的不愿意上学。某天一个叫卡修的奇怪小孩来到他家，自称清鹰之父是自己的救命恩人，为了报恩他来到日本帮助和教导清鹰。远在英国的父亲寄来的信中曾说卡修失去了记忆，而他随身携带的一本红色书籍似乎和其身世有关。那本写满奇怪文字的书连博学的父亲也无法理解，但是清鹰却发现自己竟然可以读出书中类似咒语的文字。卡修逐渐溶入清鹰的生活后，身边的怪事也越来越多，他们先后碰到了几对人类与这种怪小孩的搭档组合，他们也都有着各自不同颜色的魔法书。清鹰也终于明白，这些奇怪的孩子是操纵自然元素的媒介，而魔法书是呼唤这些力量的钥匙。 随着接触同样人类与怪小孩搭档的事件越来越多，真相也渐渐清晰：所有的人类都是这些来自魔界、为竞争下届魔界统治者者而进行比赛的工具。这些魔界之子的目的就是毁灭除自己拥有以外的一切魔法书，胜者就将成为王者。为了达到目的，他们利用人类贪婪无止境的欲望。而清鹰和卡修，他们却是为了消除这些欲望而战斗着。,已完结,http://www.ccdm13.com/manhua/12947/
0,修罗之刻,川原正敏,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8083.jpg,修罗之刻漫画 ，時間是戰國時代，在下剋上的世界裡，以十九歲之齡繼承父親地位的一個男人，雖然被稱為「傻瓜」，受到輕視，但卻密謀奪取天下，這位梟雄的名字就是──織田信長。之後，這個野心在遇見一個鬼神──陸奧辰巳之後開始積極運作…,已完结,http://www.ccdm13.com/manhua/12945/
1,修罗之刻第二部,川原正敏,日本漫画,"冒险,格斗,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/17/8082.jpg,修罗之刻第二部漫画 ，故事发生在战国时代，在下克上的乱世里，以十九岁之龄继承父亲地位的一个男人。虽然被称之为傻瓜受到轻视，但却密谋夺取天下，这位枭雄的名字就是织田信长。之后，这个野心在遇见一位鬼神——陆奥辰巳之后开始积极运作，打破了漫长的沉默，众所期待的新系列启动！,已完结,http://www.ccdm13.com/manhua/12944/
