,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
23,草莓星愿,酒井真由,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/6/cmxy.jpg,"妃芽的父親是日本首相，由於父親的顯赫身份讓她在國中時代吃了不少苦頭。上高中後她便刻意隱瞞身份到外地求學，因為妃芽的心願就是交到知心和男朋友享受一生才一次的青春高中生活。
",已完结
24,漫画同人会,犬威赤彦,日本漫画,"欢乐向,后宫,宅系",JPG,http://images.dmzj.com/webpic/7/comicparty.jpg,"男主角千堂和树在刚升入高三，因为就读的高校采用保送大学制，所以生活非常平静悠闲。一日，在朋友大志的诱骗下他偶然参加了一次Comic Party(漫画同人会)，他在会场中不但见识到了漫画同人的魅力也巧遇了多个美丽少女！然后男主角就自称为同人志所感动，以成为一个优秀同人作家为目标而努力…… 
",已完结
25,魔女的游戏,日渡早纪,日本漫画,"爱情,魔法",JPG,http://images.dmzj.com/webpic/8/cosmo.jpg,"繼承了已過世母親魔女之力的我,森宮天湖，
在學校舉辦的一次活動中得到勝利之後，
一封封匿名的「捕捉魔女」信，
開始翻攪我平靜的生活。
雖然有我的好朋友小茜、
同班同學千翔，
以及城崎學長幫忙尋找犯人，
但整件事仍是讓人摸不著頭緒.......
",已完结
26,从前有个呆头鹅,水野十子,日本漫画,神鬼,JPG,http://images.dmzj.com/webpic/9/cq.jpg,"左大臣家的少爷----胧少将,天生少根筋的他,是以京城首屈一指的呆头鹅着称的。有一天胧少将在山中散步时遇到一名女童,这名女童居然是鬼的女儿。 被少将带回京城抚养的鬼姬,毕竟是个年幼的孩子,随着日子一天天过去,思念父亲的眼泪已不?倭?,自以为是人类的鬼姬,在少将的疼爱下逐渐成长,出落成了京城第一美女。最后也出现了俘虏鬼姬的心的男子,日月流转,鬼姬是如此幸福,也产下一名可爱的男婴,成为母亲。 但是……鬼姬真正的父亲曾说过“她是鬼的女儿,生为我的孩子,是她前世的业报,让她识得人情冷暖,反而会使她悲伤。”鬼的女儿……终究是不能得到幸福吗？ 本书一共收入了四篇,水野十子呈现和风世界之美的作品。",已完结
27,橙汁足球队,能田达规,日本漫画,竞技,JPG,http://images.dmzj.com/webpic/11/cszqd.jpg,"一个少年的出现令一队在职业足球联赛中最弱的足球队奇迹地改变！由西班牙回国的少年前锋武藏自从加入了弱小的南予橙队之后，南予橙队便奇迹地复活了…… 
",已完结
28,丑小鸭王子,森永爱,日本漫画,"欢乐向,爱情",JPG,http://images.dmzj.com/webpic/13/cxywz.jpg,"主角白鸟丽一本是一个矮小胆小, 但头一点也不小的可爱丑男, 是常遭人欺负的典型. 虽然暗恋着同学伊藤友美子, 但却胆小得不敢向她表白. 直到有一天, 他因为想救友美子的古怪爱犬, 而被一架汽车撞到毁容. 这次交通意外后, 丽一昏迷了近一年, 当他醒来后, 赫然发现自己竟神奇地变成超级美少年, 不过这并没有结束丽一悲惨的一生...... ",已完结
29,DaDaDa,川村美香,日本漫画,"欢乐向,生活",JPG,http://images.dmzj.com/webpic/14/dadada.jpg,妈妈被选为宇航员，未梦不得已要和初次见面的男孩二人共同生活。在如此景况之中，又飞来了谜之U F O……现在为你送上规模宏大的宇宙人爱情喜剧！！,已完结
0,微忧青春日记,阿部美幸,日本漫画,纯爱,JPG,http://images.dmzj.com/webpic/15/weiyouqingchunrijifengmianl.jpg,"活泼可爱,常被人误认为是女孩子的藤缟宝住进了高中的男生宿舍.
他的室友保坂清岭学习,运动万能,人长得又帅又酷,但是性格却非常
别扭.两个人从见面那天起就打个没完.但在朝夕相处中,开始慢慢彼
此了解并相互吸引..........从最初的极度相斥渐渐成为了如呼吸般自
然的亲密室友.....美少年青春喜剧,美幸的这部BL漫画人物塑造很成
功.亲切如家人一般的友情,淡淡的恋情以及只属于这个年龄的烦恼,
贯穿在少年的每一天中.",已完结
1,爱的魔法,栗田陆,日本漫画,生活,JPG,http://images.dmzj.com/webpic/17/maburaho.jpg,（全2册）喜佐兴高采烈地迎接父亲梅开二度的喜讯，也对温柔的新妈妈感到很满意，但是半路突然杀出新妈妈的弟弟奖，而且他和喜佐也看不对眼。喜佐看在他是亲戚的份上不跟他计较，但后来又发生了一件大事－喜佐的新妈妈原来不是个女人… ,已完结
2,紫音之王,安藤慈朗,日本漫画,"竞技,悬疑,高清单行",JPG,http://images.dmzj.com/webpic/18/ziyinzhiwang.jpg,"紫音小时候家中遭遇惨变,父母被杀害,幸存下来的她被... 紫音幼时父母被杀而失语，唯一记得的是凶手手拿将棋的样子，于是……",已完结
