,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
1123,利维坦事件,DC Comics,欧美漫画,"冒险,格斗,科幻",JPG,http://images.dmzj.com/webpic/12/190612lwtsj.jpg,随着克拉克·肯特遭到绑架，铺设已久的“利维坦”事件终于被引爆，露易丝·莱恩、吉米·奥尔森、超级少女、蝙蝠侠纷纷被卷入，塔莉亚则失去了对自己的组织的掌控。神秘的红色面具人究竟是谁？大都会的隐形黑手党又与利维坦是敌是友？这次事件，到底有多少不同的势力？改变整个DC特工线的故事开始了,已完结
1124,蝙蝠侠／超人／神奇女侠：三位一体,DC Comics,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/10/bianfuxiachaorenshenqinvx20190604.jpg,超人、蝙蝠侠、神奇女侠，同为正义联盟的元老，也是DC漫画里当之无愧的最佳人气角色，他们三人的相遇和相识也一遍遍的被DC重述。这部作品就是其中一个版本，相当有趣的那种。,已完结
1125,探险时光：末日之始,Kaboom!,欧美漫画,"冒险,欢乐向",JPG,http://images.dmzj.com/webpic/18/morrzhishi606.jpg,芬恩触犯了对时序之王的诺言，将被从时间中抹去。最后时刻，芬恩在绪子陪伴下回顾了这一生。,已完结
1126,变形金刚：侵袭#1,IDW,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/17/bianxingjingangqinxi606.jpg,在一个与众不同的维度中，一只具有蜂群思想的僵尸占有了代号为布里特的秘密吸血鬼士兵的身体……,已完结
1127,假如？蜘蛛侠从未成为犯罪斗士,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/8/jiaruzhizhuxia20190610.jpg,在我们的宇宙里，一次错误的决定永远地改变了年轻的彼得·帕克的人生。但这里有另一个现实，在这里他做出了另一种选择…,已完结
1128,银色滑翔者：黑色,Marvel Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/3/190614yshxzhs.jpg,由《银河守护者》V5衍生而来的刊物，在银河守护者第一期中被抛进虚空的诺林，他遭遇的冒险将会在此揭晓。而本刊最大的看点在于，《毒液》与《银河守护者》这两本donny cates执笔的故事，竟然成功结合在了一起，诺林在黑暗中遇到的敌人不是别人，正是共生体之神纳尔……,已完结
1129,超人：元年,DC Comics,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/0/chaorenyuannian20190620.jpg,DC黑标系列最新作品，来自漫画界传奇人物弗兰克米勒与老牌画师JRJR，为您带来DC宇宙最伟大英雄的童年故事。我们将随着那个从天而降的小镇男孩一同成长，见证他的亲情，爱情与友情，探求他是如何成长为日后那个强大而坚毅的男人……,已完结
1130,少年泰坦-渡鸦,DC Comics,欧美漫画,"冒险,校园",JPG,http://images.dmzj.com/webpic/15/shaoniantaitanduya.jpg,DC青少年向图像小说——《少年泰坦-渡鸦》！从因事故失忆的少女成长为能够独当一面的青年，渡鸦瑞文的故事绝对值得我们每个青少年读一读。这里你能回味学生时代青涩的恋爱，回忆友情和亲情的温暖（还有超美的礼服鸦鸦），或是恶魔父亲（？）对你的虎视眈眈......值得一提的是，这本类似起源故事的图像小说依旧有少年泰坦（即使当时还未建立）的老对头丧钟客串喔！,已完结
1131,秘密扭曲,Marvel Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/15/zhizunshibin0709.jpg,"还记得《秘密战争》中那个脑洞大开的融合宇宙吗？如今的漫威的青年才俊们带着它的新故事回来了：这个存在于灵魂宝石中的世界有着自己独特的融合英雄，自然也有更多的合体恶棍。如今他们一同向英雄们发起了攻击，而至尊士兵与钢铁之锤率领的捍卫者必须保护这一瑰丽的宇宙……
",已完结
1132,蝙蝠侠-宇宙,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/6/bianfuxia-yuzhou0711.jpg,"本迪斯来到DC后首次执笔的蝙蝠侠故事，来自沃尔玛特供刊，也是其中口碑最好的一部，如今则终于集结成常规期刊出版了。在这个六期故事的开头，蝙蝠侠遭遇了一起价值千万的文物劫案，以及无数的假谜语人。但真正的谜语人却好像变得不太正常……随着DC宇宙的角色们走马灯似的登场，一个诡异的案件呈现在了蝙蝠侠面前
",已完结
1133,使命召唤：现代战争—肥皂日记,Activision,欧美漫画,战争,JPG,http://images.dmzj.com/webpic/6/xiandaizhanzheng307013.jpg,"约翰·麦克塔维什（""肥皂""）上尉在现代战争三部曲中写下的日记，随现代战争3游戏典藏版里版附赠。",已完结
1134,金刚狼&美国队长：武器强化计划,Marvel Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/9/jinganglanghemeiguoduizhang0714.jpg,"武器强化计划，即创造了美国队长的“重生计划”及其后众多后续开发项目的统称，而这次，三位武器强化计划的产物：美国队长、金刚狼与白幽灵聚集在了一起，共同追查这一至今仍在延续的项目，而出乎我们意料的是，似乎它在漫威宇宙历史上的位置，比我们所知的要更为重要，许多我们熟悉的其他角色，也都有着千丝万缕的联系……
",已完结
1135,女猎手：暴露,DC Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/1/190716nvlies.jpg,“蝙蝠侠：传染病”支线，收录于《蝙蝠侠编年史V1#4》。致命病毒肆虐哥谭，感染者陷入癫狂。蝙蝠侠“有令在先”，先去找解药，否则谁都救不了。哥谭jing局发来消息，海伦娜班上的一位学生“艾瑞克”下落不明（海伦娜的正职是人民教师）。艾瑞克的家人已经毒发身亡，这让海伦娜感同身受——她的家人当年也被屠杀殆尽……而且在海伦娜看来，所谓的“行侠仗义”很虚伪，平日里她的秘密身份一旦【暴露】，黑道会毫不留情地杀到学校，这种强烈的负罪感，让她觉得自己亏欠了艾瑞克很多很多。因此，她别无选择，只有“知其不可为而为之”，去拯救孩子的性命，同时也要拯救自己的灵魂。然而，现实的残酷总会超乎想象，海伦娜也许永远无法得到她应得的那份救赎……,已完结
1136,变形金刚大战捉鬼敢死队,IDW,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/5/zhuoguigansidui0719.jpg,红蜘蛛：“我在想如何毁灭塞伯坦才能显得威武不凡，然后——”（然后他死了）,已完结
1137,洛基V3,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/8/190720ljv3.jpg,他曾是一名恶棍，却在破膛而出后重获新生，成为了十界英雄。他曾是诡计之神，是众神们不齿的弃儿，如今则坐上冰霜王座，与兄长并肩而治。十界之中，再无洛基这般奇妙的存在，身负中庭。仙宫与约顿海姆三界的责任，他开始一段新的快意生活……,已完结
1138,X战警：归来的秘客,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/19/190721xzjgldmk.jpg,"终于，秘客回到了漫威宇宙，但她将以何种形式回归，她又将效忠于谁？《X战警：归来的秘客》将为你带来三个与秘客有关的故事。《X战警无限#13》，钢力士仍在为失去自己亲爱的妹妹而哀悼；而《新X战警#37》则将探讨秘客的起源和她那邪恶的导师贝拉斯科，贝拉斯科在一个险峻之地和一个恶魔战斗，他将誓死捍卫自己对地狱边境的绝对主权，然而，站在他面前的这个恶魔，似乎与他的门徒有所关联；《X战警：分崩而立#2》，秘客确然归来，但却被困在地狱边境，成为贝拉斯科的奴隶，渴望自由和家人的伊尔亚娜要逃脱并击败贝拉斯科，她必须拿到她失去的灵魂碎片——血石。
",已完结
1139,菲欧娜和蔻可的探险时光,Kaboom!,欧美漫画,"冒险,欢乐向",JPG,http://images.dmzj.com/webpic/18/feiaonakenikou0722.jpg,很久很久以前，在世界上大多数生灵尚未诞生时，有一名由火焰铸造的女子。她孑然一身，隐居在荒漠中，周身只有黄沙与秃岩。一日她发现，如果她亲吻一块岩石，她的火焰会将其熔化，变成一个雀跃的熔熔小可爱。于是从此，她不再孤独。,已完结
1140,惊世奇人：尾声,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/6/jinshiqiren0724.jpg,惊世奇人是一部以平凡人视角鉴证漫威宇宙30多年风雨的经典之作。,已完结
1141,X皇室,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/5/190725xhuangshi.jpg,一个新时代的崛起，一段新史诗的揭幕。在我们的睡梦之中，世界已经天翻地覆。X教授带着治愈一切的花朵归来了，若想获得这福祉，只要付出一个代价。而全球的各大组织也团结一致，将它变成了两个物种争夺生存权的残酷战争。这是所有X战警翘首盼望许久的一个故事，因为你看呐，新的神明到来了,已完结
1142,漫威宇宙史记,Marvel Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/8/190726marv.jpg,这可能是史上标题最宏大的漫画刊物之一，也是漫威献给自己的八十岁生日礼物。如果说昨天希克曼的X皇室让我们领略了未来的风貌，那么这周的另一本新刊就带我们回顾了过去的辉煌。从天地鸿蒙到神明诞生，从人类在进化史上的挣扎到秘密结社崭露头角……亿万年的历史在薄薄的书页上为你呈现……本刊还附有详尽的批注，详解了每一处设定的出处。,已完结
1143,M皇室：美国队长,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/13/meiguoduizhanghuangshi0729.jpg,"新复仇者和X战警会面商议绯红女巫—强大的变种人恐怖分子万磁王之女旺达·马西克莫夫的命运.她修改现实的魔法失去控制，并经历了一次精神崩溃后,旺达将混乱加诸复仇者联盟之上，并杀死和伤害了许多成员.万磁王对此进行干预，并把他的女儿带去了一片废墟的岛国吉诺沙*.在那里，查尔斯·泽维尔,也就是X教授,X战警的创始人将帮助她恢复.泽维尔失败了,现在,将由旺达的朋友和队友们来决定她的生死.但万磁王,旺达和她的兄弟皮特罗却失踪了... 接着整个世界闪过一片高亮的白色.我们所熟知的现实都不复存在... ...在代替一切",已完结
1144,X之力,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/13/xzhili0731.jpg,"本刊的标题POWER OF X有两个含义，其一是“X之力”，其二是“十的次幂”，没错，这是一个贯通了过去与未来的故事，从十的零次幂到三次幂，从X战警的元年到一千年后的未来，整个时空都成为了一个整体，而整个变种人族群的兴衰，都寄托在此刻……寄托在一个似假似真的美梦中
",已完结
