,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节
24,212070,神医嫡女,三福互娱,https://oss.mkzcdn.com/comic/cover/20181108/5be395a99a0f5-600x800.png!cover-400,"
              duang的一声穿越，中西医双料圣手凤羽珩分分钟成了大顺朝的受虐嫡女，想杀我？一手术刀就扎你个半身不遂！药房随身，名利在手，连皇上都要跟我套近乎！流氓王爷你是在拿我开心吗？【授权/每周二更新】              ",连载中,第267话 同床共枕
25,212350,万界仙踪,踏雪动漫,https://oss.mkzcdn.com/comic/cover/20180906/5b90ddc8ce8fc-600x800.png!cover-400,"
              一花一世界，所谓凡世，不过仙魔掌中一粒沙尘。 仙魔一念，人世千载。万里河山，不过镜花水月，人死之后，魂归万界星空。星空深处，便是传说中的仙魔道场。              ",连载中,第256话
26,210418,唐寅在异界,云端漫画,https://oss.mkzcdn.com/comic/cover/20180617/5b262b229d007-420x560.jpg!cover-400,"
              他有一身出类拔萃的功夫，但在现实世界中却没有用武之地，只能做个见不得光的杀手。而去到了混乱不堪的异界，在你死我活的战场上他的实力却得到最大程度的发挥。在这里，他可以肆无忌惮地挥舞手中的武器在这里，为了生存，他别无选择走上那条属于他自己的王者之路。他的名字叫唐寅，他的一切，只是存在于传说...              ",连载中,第131话3 泮水
27,212886,我的微信连三界,iCiyuan动漫,https://oss.mkzcdn.com/comic/cover/20180705/5b3dc9da27696-600x800.jpg!cover-400,"
              本是普通大学生的林海，在微信更新后，被拉入了天庭的交易群，从此生活变得多姿多彩起来。王母娘娘的面膜用完了？拿十个蟠桃来换，不讲价。太上老君想抽软中华？十颗天地造化丹，概不赊账。红孩儿想喝哇哈哈？三昧真火拿过来，赶紧的。嫦娥想穿情趣内衣？哎呀，这个不好办，容我亲自过去一丈量下尺寸              ",连载中,第204话 紫雷神龙臂
28,210745,惹上首席总裁,有鹿文化,https://oss.mkzcdn.com/zymkcover/999/mh/101886.jpg!cover-400,"
              一夜情未果，大胆的女人居然偷偷离开，甚至在床单上烙下挑衅的“战书”。他发誓要将这个逃跑的女人找出来！第二天，各大媒体版块同时刊登头条通缉令！童天爱看着手机，一张脸充血红了个彻底。“秦晋阳…秦氏财团总裁…”，只因为那个唇印，她惹上首席总裁…              ",连载中,第2季127话
29,212495,地府我开的,飞花工作室,https://oss.mkzcdn.com/comic/cover/20190404/5ca55c7499b14-750x999.jpg!cover-400,"
              叶凡机缘巧合下成为了阎罗王，获得可升级的神秘地府系统，随着光怪陆离百态丛生的离奇事件逐一被解决，叶凡越来越像一个真正的阎王，将地府的重塑，当做了自己的使命。而就在一切顺风风水之际，叶凡忽然发现似乎地府系统还藏着不可告人的天大秘密，一个关于天下苍生的大秘密…              ",连载中,第414话 谈判破裂
30,213693,九阳神王,掌阅漫画,https://oss.mkzcdn.com/comic/cover/20191121/5dd62b58be3c7-750x1000.jpg!cover-400,"
              落魄皇子秦云，得九阳传承，觉醒惊世武魂，习得绝世炼器之术。从此，他在修武大道上，一路潇洒风流。各种武道强者，为求他炼器，甘愿充当他当小弟。各色神女圣女，为求他炼器，都愿意委身与他。但秦云却不满意，天下美女十斗，他就要占十斗。              ",连载中,第181话 红儿又被欺负了
31,211847,仙侠世界,神居动漫,https://oss.mkzcdn.com/comic/cover/20181207/5c0a1f24cbdd3-618x824.jpg!cover-400,"
              这是一个强者才能生存的世界，强者镇压弱者，一人主宰万界，这就是血腥的世界，这就是——仙侠世界！              ",连载中,第200话1
32,213692,天才高手,掌阅漫画,https://oss.mkzcdn.com/comic/cover/20191121/5dd62dc4890ce-750x1000.jpg!cover-400,"
              【不定期更新】傲娇女总裁，娇羞小秘书，南非黑钻公主，特种兵女保镖，和爱吃胡萝卜的屌丝美男会擦出怎样的火花？是宿命纠缠还是心机暗算，走进天才高手，带你领略不一样的助理人生。              ",连载中,第210话 纵欲，上官明心
33,209462,尸兽边缘,三合龙居动漫工作室,https://oss.mkzcdn.com/comic/cover/20190204/5c57ea1af0334-750x999.jpg!cover-400,"
              假期中，主角莫白与哥哥莫凡被一个突然闯入家中的尸兽袭击。醒来后的莫白出现了尸兽的种种反应，而莫凡则被尸兽猎人们所救。为了寻找弟弟的下落，莫凡逐渐成长为猎人组织的最强猎人。
S级尸兽莫白的出现被人类所忌惮，兄弟两人再次相见却物是人非，冲突一触即发……              ",连载中,第237话 尸兽皆为蝼蚁
34,212062,修真四万年,三福互娱,https://oss.mkzcdn.com/oss_comic/修真四万年/cover.jpg!cover-400,"
              “倘若这宇宙，真是一片残酷血腥的黑暗森林，我们修真者，也会燃烧自己的生命，绽放出微弱的火花！” “最终，小小的火花，会在这片黑暗森林中，掀起燎原天火，照亮整个世界！” 修真40000年代，一个普普通通的边境少年，咆哮星辰，主宰银河的热血传奇！              ",连载中,第290话
35,208389,重生豪门之强势归来,万画筒漫画,https://oss.mkzcdn.com/comic/cover/20170607/5937888f5f805-600x800.jpg!cover-400,"
              【万画筒漫画出品】【每周二、五更新】3岁父亲失踪，15岁被挑断手筋，16岁母亲被害车祸身亡，19岁被亲叔叔陷害，22岁的时候被自己的新婚丈夫和闺蜜活活烧死。也许是老天同情，让她回到15岁重活一遭。前一世的低调隐忍，换来的是背叛与凄凉，这一世她偏要高调霸道，让欺负她的人不得善终！              ",连载中,第317话
36,213609,谢文东,分布文化,https://oss.mkzcdn.com/comic/cover/20181101/5bda73de78ebf-600x800.jpg!cover-400,"
              原本文弱、本分、听话、成绩优秀但被人欺负的好学生谢文东，他颠覆了传统，制定了独属于他的规则，成为带领大家走出迷茫的英雄。              ",连载中,第338话 新仇旧恨一起算
37,212584,吸血鬼男神,杭漫文化,https://oss.mkzcdn.com/comic/cover/20190719/5d318caa7cf47-3183x4244.jpg!cover-400,"
              被一只吸血鬼盯上怎么办？！而且还是一只帅到没朋友的男神级吸血鬼！！小龙套演员顾梦即将上演一场被男神扑倒，×了，扑倒男神的好戏……              ",连载中,第261话 期待你穿上婚纱的样子
38,213024,我本废柴,万画筒漫画,https://oss.mkzcdn.com/comic/cover/20190123/5c483ba3732c8-750x999.jpg!cover-400,"
              【万画筒漫画出品】【每周三、周六更新】被看轻、被退婚、被杀害，也许这就是废柴该有的人生吧……可偏偏被我这修仙界第一的苍昆子夺舍重生。所谓既来之则安之，且看我如何用这废柴之躯，碾碎尔等蝼蚁之辈！              ",连载中,第205话 后继有人
