0,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
47,火云邪神传,黄玉郎 ,https://mhfm3tel.cdndm5.com/8/7172/7172.jpg,火云邪神是新著龙虎门前传，原出自柳残阳的小说《邪神门徒...,完结,第100回 千秋万世最后胜利,https://www.dm5.com/manhua-huoyunxieshenzhuan/
48,海虎Ⅱ,邓志辉 ,https://mhfm3tel.cdndm5.com/4/3726/20141104155313_180x240_21.jpg,海虎Ⅱ漫画 ，海虎與地獄緩緩的向天空島進發. 海虎和地獄當...,完结,第48回 ,https://www.dm5.com/manhua-haihu2/
49,射雕英雄传,黄玉郎 ,https://mhfm1tel.cdndm5.com/4/3778/3778.jpg,大雪纷飞，惊变骤生……位近偏安一隅的临安牛家村，郭杨两...,完结,第100回 ,https://www.dm5.com/manhua-shediaoyingxiongchuan/
50,少林寺第8铜人,邱福龙 ,https://mhfm7tel.cdndm5.com/7/6391/20160901132608_180x240_26.jpg,少林寺第8铜人漫画 ，一场假劫文天祥的奇案，蒙元朝廷大军...,完结,第60回 ,https://www.dm5.com/manhua-shaolinsidi-8-tongren/
51,武神终极,邓志辉 ,https://mhfm3tel.cdndm5.com/5/4755/20160902153642_180x240_15.jpg,武神系列漫画的最终章！希望大家喜欢！,完结,第87-88回 ,https://www.dm5.com/manhua-wushenzhongji/
52,拳皇99,许景琛 ,https://mhfm2tel.cdndm5.com/1/635/635.jpg,关闭 一九九九年----送到世界各地的格斗家面前的一封邀请卡...,完结,第9938卷 ,https://www.dm5.com/manhua-quanhuang-99-kof-99/
53,拳皇2002,永仁 ,https://mhfm7tel.cdndm5.com/1/641/641.jpg,一千八百年前，就是由草薙京、八神庵及我神乐千鹤的先祖，...,完结,第200255卷 ,https://www.dm5.com/manhua-quanhuang-2002-kof-2002/
54,海虎Ⅲ,邓志辉 ,https://mhfm6tel.cdndm5.com/4/3727/20141104155459_180x240_19.jpg,海虎Ⅲ漫画 ，海虎與地獄緩緩的向天空島進發. 海虎和地獄當...,完结,第48回 ,https://www.dm5.com/manhua-haihu3/
55,折纸战士G,周显宗 ,https://mhfm9tel.cdndm5.com/19/18471/20150528155333_180x240_23.jpg,折纸战士G漫画是折纸战士漫画的续集。在混沌神-轧德的大破...,完结,第19卷 ,https://www.dm5.com/manhua-zhezhizhanshi-g/
56,超霸世纪,许景琛 ,https://mhfm5tel.cdndm5.com/5/4877/4877.jpg,在未来的二十一世纪中，一批自称为“神”的入侵者在地球上...,完结,第120回 ,https://www.dm5.com/manhua-chaobashiji/
57,鹿鼎记,金庸 ,https://mhfm8tel.cdndm5.com/3/2038/20181203094633_180x240_26.jpg,鹿鼎记（玉皇朝版）漫画 ，《鹿鼎记》是香港作家金庸（查良...,完结,第60卷 ,https://www.dm5.com/manhua-ludingji2038/
58,东方真龙·新著龙虎门外传,黄玉郎 ,https://mhfm1tel.cdndm5.com/16/15412/15412_b.jpg,"命运真是最糟糕的编剧！
  堂堂真龙，体内怎么可能存在他...",完结,第66回 永无止境的战斗人生,https://www.dm5.com/manhua-dfzlxzlhmwz/
