,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
54,巅峰神医,时光鱼 ,https://mhfm7tel.cdndm5.com/55/54271/20191024132852_180x240.jpg,他只是江州医院一名普通护工，喜欢偷看美女护士，懒懒散散...,连载中,第53回 失策,https://www.dm5.com/manhua-dianfengshenyi/
55,天才高手,掌阅漫画 ,https://mhfm4tel.cdndm5.com/47/46995/20191108102725_180x240.jpg,傲娇女总裁，娇羞小秘书，南非黑钻公主，特种兵女保镖，和...,连载中,第210回 情敌见面，分外眼红,https://www.dm5.com/manhua-tiancaigaoshou/
56,万古神王,绍兴凰漫 ,https://mhfm9tel.cdndm5.com/54/53162/20190902165036_180x240.jpg,前世因为帝尊陷害而身死，重生到了高中时代，恰逢灵气复苏...,连载中,第89回 又救你一命,https://www.dm5.com/manhua-wangushenwang/
57,万丈光芒不及你,杭漫文化 ,https://mhfm2tel.cdndm5.com/41/40672/20180713091426_180x240.jpg,我的女人，谁也不能动！,连载中,第183回 自作孽不可活,https://www.dm5.com/manhua-hunseliaoren-haomenxiaonenqi/
58,史上最强,拾部次元 ,https://mhfm2tel.cdndm5.com/40/39972/20191011113553_180x240.jpg,最强王者诞生！,连载中,第113回 杀出血路,https://www.dm5.com/manhua-shishangzuiqiang/
59,仙尊奶爸当赘婿,六月雪工作室 ,https://mhfm9tel.cdndm5.com/58/57420/20200210143030_180x240.jpg,一代仙帝带着女儿降临地球，成为一名上门赘婿！ 你从修仙界...,连载中,第38回 害死婴儿，十恶不赦！,https://www.dm5.com/manhua-xianzunnaibadangzhuixu/
60,独步逍遥,掌阅文化 ,https://mhfm7tel.cdndm5.com/52/51127/20190618112552_180x240.jpg,贪恋红尘者，不求成仙，不求成佛。只求世间繁华，你我安好...,连载中,第105回 圣胎境之威,https://www.dm5.com/manhua-dubuxiaoyao/
61,医妃权倾天下,Amber漫研社 ,https://mhfm1tel.cdndm5.com/50/49975/20190509114800_180x240.jpg,上一世，她是任人利用的棋子，当情报被泄露，她被严刑拷打...,连载中,第114回 ,https://www.dm5.com/manhua-yifeiquanqingtianxia/
62,崩坏3rd,米哈游 ,https://mhfm7tel.cdndm5.com/21/20952/20180502113910_180x240_21.jpg,"延续《崩坏学园2》主线剧情,崩坏学园系列漫画最新作！
敌...",连载中,女武神的餐桌（12） ,https://www.dm5.com/manhua-benghuaixueyuan-3/
63,重生弃少归来,掌阅文化 ,https://mhfm6tel.cdndm5.com/52/51528/20190722092308_180x240.jpg,三百年前，弃少卓不凡遭人暗算抛入大海，幸好遇到师尊君河...,连载中,第55回 姜武尹,https://www.dm5.com/manhua-chongshengqishaoguilai/
64,一念时光,iCiyuan动漫 话婷 ,https://mhfm9tel.cdndm5.com/40/39444/20191108102451_180x240.jpg,女漫画家和现世帝王的爱恨纠葛,连载中,第243回 决定坦白自己的心,https://www.dm5.com/manhua-yinianshiguang/
65,医武至尊,杭漫文化 ,https://mhfm4tel.cdndm5.com/52/51167/20190624114224_180x240.jpg,【独家/每周五、六更新】给某国王子戴了绿帽，狂傲特战军医...,连载中,第148回 ,https://www.dm5.com/manhua-yiwuzhizun/
66,重生之影后谋略,大腿子工作室 ,https://mhfm8tel.cdndm5.com/51/50371/20190523095753_180x240.jpg,婚礼当天，迎接楚辞的不是幸福和美好，而是妹妹的陷害与未...,连载中,第186回 ,https://www.dm5.com/manhua-chongshengzhiyinghoumoulue/
