序号,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,百度盘地址,提取码,是否发布
31,海虎Ⅱ,邓志辉 ,https://mhfm3tel.cdndm5.com/4/3726/20141104155313_180x240_21.jpg,海虎Ⅱ漫画 ，海虎與地獄緩緩的向天空島進發. 海虎和地獄當...,完结,第48回 ,https://www.dm5.com/manhua-haihu2/,https://pan.baidu.com/s/1o234azBdrejB4b2mODh_Rw,p6k5,
32,鹿鼎记,金庸 ,https://mhfm8tel.cdndm5.com/3/2038/20181203094633_180x240_26.jpg,鹿鼎记（玉皇朝版）漫画 ，《鹿鼎记》是香港作家金庸（查良...,完结,第60卷 ,https://www.dm5.com/manhua-ludingji2038/,https://pan.baidu.com/s/1kKfDTMih_mUEC3Nd65wpAA,jhrj,
33,石黑龙传,黄玉郎 ,https://mhfm3tel.cdndm5.com/10/9572/9572_b.jpg,石黑龙透过昔日长洲五狮话事人金毛狮王，得悉全港黑白两道...,完结,第93回 空前绝后十二关,https://www.dm5.com/manhua-shiheilongzhuan/,https://pan.baidu.com/s/1ox2IOfnuy3VTGXkLmRM7_A,qg7e,
34,东方真龙·新著龙虎门外传,黄玉郎 ,https://mhfm1tel.cdndm5.com/16/15412/15412_b.jpg,"命运真是最糟糕的编剧！
  堂堂真龙，体内怎么可能存在他...",完结,第66回 永无止境的战斗人生,https://www.dm5.com/manhua-dfzlxzlhmwz/,https://pan.baidu.com/s/1eeGdh_htPbhZNFlNDr_iYg,eumy,
35,折纸战士G,周显宗 ,https://mhfm9tel.cdndm5.com/19/18471/20150528155333_180x240_23.jpg,折纸战士G漫画是折纸战士漫画的续集。在混沌神-轧德的大破...,完结,第19卷 ,https://www.dm5.com/manhua-zhezhizhanshi-g/,,,
36,温瑞安群侠传2,司徒剑桥 ,https://mhfm9tel.cdndm5.com/10/9447/20190620155726_180x240_21.jpg,剑试天下，何惧成败，沧海横流，方显英雄本色，群侠会聚，...,完结,第43回 来生.再见,https://www.dm5.com/manhua-wenruianqunxiachuan-2/,https://pan.baidu.com/s/1vYaThW5gHuwRuPI4dfngZQ,3d67,
37,皇朝君临,黄玉郎 ,https://mhfm2tel.cdndm5.com/39/38048/20170818155247_180x240_24.jpg,欢迎观看皇朝君临漫画,完结,第36回 大结局,https://www.dm5.com/manhua-huangchaojunlin/,https://pan.baidu.com/s/1Sbgl8nOsTAxqptSyjHalBw,qk6e,
38,龙飞不败,文情厚 ,https://mhfm9tel.cdndm5.com/1/286/20190320100911_180x240_18.jpg,飞龙不败漫画讲述的故事的主人公龙飞——视钱如命的赏金猎...,完结,外传：9 ,https://www.dm5.com/manhua-longfeibubai-feilongbubai/,https://pan.baidu.com/s/1Z5WhCpscZserZqI5kx0qJQ,t5qe,
39,笑傲江湖,李志清 ,https://mhfm3tel.cdndm5.com/4/3881/20160908152739_180x240_21.jpg,"江湖中人只知爭奪武林秘笈 不知我行我素亦能笑傲江湖   
...",完结,第26卷 ,https://www.dm5.com/manhua-xiaoaojianghu/,https://pan.baidu.com/s/1a1cV-edEBwOsN-YhRQQcWw,picf,
40,小和尚,赖有贤 ,https://mhfm5tel.cdndm5.com/3/2698/2698.jpg,"一本连载近七年的漫画,发行版本遍及韩国,香港,新加坡,泰国...",完结,第28卷 ,https://www.dm5.com/manhua-xiaoheshang/,,,
41,神掌龙剑飞,黄玉郎 ,https://mhfm7tel.cdndm5.com/6/5186/20160902160226_180x240_27.jpg,龙剑飞在机缘巧合之下习得如来神掌，从此之后独步江湖，行...,完结,第72回 ,https://www.dm5.com/manhua-shenzhanglongjianfei/,https://pan.baidu.com/s/1KrUbUp_BGpc0y6h7ajcGgQ,fyc5,
42,大军阀,郑健和 ,https://mhfm6tel.cdndm5.com/16/15415/15415_b.jpg,大军阀漫画：由郑健和、邓志辉合作的港漫新作《大军阀》，...,完结,第55回 平安妹妹要行自己的路,https://www.dm5.com/manhua-dajunfa/,https://pan.baidu.com/s/1LvR0xF6psf6FSwJa2iknaw,jiig,
43,武神终极,邓志辉 ,https://mhfm3tel.cdndm5.com/5/4755/20160902153642_180x240_15.jpg,武神系列漫画的最终章！希望大家喜欢！,完结,第87-88回 ,https://www.dm5.com/manhua-wushenzhongji/,https://pan.baidu.com/s/1DzvmD75IqTJ8IIvJqxyJJQ,vitg,
44,拳皇96,郑世杰 ,https://mhfm7tel.cdndm5.com/5/4949/4949_b.jpg,"拳皇96漫画 ，来自西方的“遥远彼地“一族,为了令他们的“...",完结,第5卷 ,https://www.dm5.com/manhua-quanhuang-96/,https://pan.baidu.com/s/1DYv0jybDB21PiviZd6ClUw,r5s5,
45,龙虎五世第二部,黄玉郎 ,https://mhfm4tel.cdndm5.com/4/3238/3238_b.jpg,龙虎五世第二部漫画 ，六千五百万年以前，主宰着世界的是各...,完结,第51卷 ,https://www.dm5.com/manhua-longhuwushidierbu/,https://pan.baidu.com/s/1IjmyPU0G8OypB6jmT6mpuQ,g3ua,
46,生化危机1,许景琛 ,https://mhfm7tel.cdndm5.com/3/2556/2556.jpg,据CAPCOM授权的著名游戏《生化危机》改编而成，剧情非常的...,完结,第18卷 ,https://www.dm5.com/manhua-shenghuaweiji/,https://pan.baidu.com/s/19DnMoZvVX5glNjRpvRIySA,q3a2,
47,海虎Ⅲ,邓志辉 ,https://mhfm6tel.cdndm5.com/4/3727/20141104155459_180x240_19.jpg,海虎Ⅲ漫画 ，海虎與地獄緩緩的向天空島進發. 海虎和地獄當...,完结,第48回 ,https://www.dm5.com/manhua-haihu3/,https://pan.baidu.com/s/1ZIdhHEv_Hs7tpHp4PEGAog,swrc,
48,王风雷传,黄玉郎 ,https://mhfm1tel.cdndm5.com/5/4904/20190422105014_180x240_20.jpg,上帝要人灭亡！必先令其疯狂！！王风雷痛失至爱，竟置仇人...,完结,第60回 ,https://www.dm5.com/manhua-wangfengleizhuan/,https://pan.baidu.com/s/1lkhs3ZVAepPjjojPpJziKQ,kjrd,
49,追球,常盘勇者 ,https://mhfm4tel.cdndm5.com/46/45607/20181130175043_180x240_19.jpg,腾远学院乒球社曾于二十年前险些染指学院杯冠军，但最...,完结,第36回 淋雨,https://www.dm5.com/manhua-zhuiqiu1/,,,
50,神兵问天,黄玉郎 ,https://mhfm3tel.cdndm5.com/14/13108/13108_b.jpg,神兵问天，黄玉郎，神兵主角问天的分支故事,完结,第36回 天心仁爱碎绝兵,https://www.dm5.com/manhua-shenbingwentian/,https://pan.baidu.com/s/1gM0a42SJo358Q3v5XUgX7g,hvma,
51,宛香,金爷 ,https://mhfm9tel.cdndm5.com/38/37704/20190610142429_180x240.jpg,本是媒妁之言，何以日久情深,完结,第168回 最后的最后（3）,https://www.dm5.com/manhua-wanxiang2/,,,
