,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
37,杀蜡,漫域 ,https://mhfm4tel.cdndm5.com/41/40584/20180130160128_180x240_18.jpg,实验一小的老师一个接连一个的死亡，传闻中学校出现了一个...,连载中,第51回 ,https://www.dm5.com/manhua-shala/
38,冥婚,常盘勇者 ,https://mhfm6tel.cdndm5.com/42/41084/20180306145538_180x240.jpg,张易之说爱情既是此刻，是瞬间，太平公主说那么我要让此刻...,连载中,第32回 歌声渐远【下】【第一部完】,https://www.dm5.com/manhua-minghun1/
39,辛巴狗之海洋大冒险,七戒 ,https://mhfm8tel.cdndm5.com/55/54571/20191105125712_180x240.jpg,大家好，我是辛巴！我打算在这个美好的季节，去征神奇的海...,连载中,第13回 海洋大冒险第十三话,https://www.dm5.com/manhua-xinbagouzhihaiyangdamaoxian/
40,春秋猛士,黄玉郎 ,https://mhfm6tel.cdndm5.com/22/21434/20160106215225_180x240_17.jpg,天地於我不仁，乾坤待我无义，半把爛刀，几支断箭，还我一...,连载中,第13回 大秦战神,https://www.dm5.com/manhua-chunqiumengshi/
41,戇男故事,柏迪 ,https://mhfm5tel.cdndm5.com/6/5806/5806_b.jpg,"港漫经典之作，湮没的远古,诡奇的传说,说不尽的神秘凄迷,突...",连载中,第130卷 ,https://www.dm5.com/manhua-gangnangushi/
42,不全才女,林青慧 ,https://mhfm9tel.cdndm5.com/7/6833/6833_b.jpg,从学生时代便步入创作的行列，从完全兴趣到成为职业。虽途...,连载中,第6回 ,https://www.dm5.com/manhua-buquancainv/
43,重返地平线,袁家宝 ,https://mhfm7tel.cdndm5.com/32/31796/20161129180100_180x240.jpg,公元206x年，太阳辐射令世界发生异常，幸存的人类被迫转入...,连载中,第21回 第二十一回,https://www.dm5.com/manhua-chongfandipingxian/
44,辛巴狗日常漫画,七戒 ,https://mhfm3tel.cdndm5.com/55/54561/20191105125919_180x240.jpg,,连载中,第12回 日常12,https://www.dm5.com/manhua-xinbagourichangmanhua/
45,贤者如星,依欢  ,https://mhfm6tel.cdndm5.com/48/47326/20190111141738_180x240_28.jpg,贤者如星漫画 ，别人夫子的中心思想是个“仁”，我家夫子的...,连载中,第5回 启程,https://www.dm5.com/manhua-xianzheruxing/
46,吾命骑士,猫十字 ,https://mhfm1tel.cdndm5.com/13/12748/12748_b.jpg,吾命骑士漫画：我是一名骑士，正确来说，是光明神殿的太阳...,连载中,第4卷 ,https://www.dm5.com/manhua-wumingqishi/
47,倒数七天,阿柯文化 ,https://mhfm2tel.cdndm5.com/43/42912/20180726100710_180x240.jpg,天界死亡局实验发布的死亡通知，短短七天，无论你曾经活在...,连载中,第96回 你想收到死亡通知吗,https://www.dm5.com/manhua-daoshuqitian1/
48,新拳皇2006,永仁 ,https://mhfm3tel.cdndm5.com/6/5512/5512_b.jpg,草薙京、八神庵又回来啦！喜欢《KOF》系列的朋友再次迎来了...,连载中,第1卷 ,https://www.dm5.com/manhua-xinquanhuang-2006/
49,饲养外星人的注意事项,旭实文化 ,https://mhfm5tel.cdndm5.com/46/45218/20190617095122_180x240.jpg,【原创漫画 每周五更新】[宇宙骑士联盟作品]原本只是普通大...,连载中,第42回 ,https://www.dm5.com/manhua-siyangwaixingrendezhuyishixiang/
50,旧著李小龙,上官小宝 ,https://mhfm2tel.cdndm5.com/35/34055/20161207135129_180x240_27.jpg,眼见黄玉郎的「新著龙虎门」大收旺场，上官小宝也随即照板...,连载中,第6卷 (复刻版) ,https://www.dm5.com/manhua-jiuzhulixiaolong/
51,如书中所说的恋爱,VICI/浅夏动漫 ,https://mhfm4tel.cdndm5.com/39/38385/20170915104123_180x240.jpg,资深宅女穿越成为小说女主角！,连载中,第102回 ,https://www.dm5.com/manhua-rushuzhongsuoshuodelianai/
52,QooApp：异常登入,川工 ,https://mhfm4tel.cdndm5.com/41/40638/20180202191024_180x240_25.jpg,这是一个存在于现实另一侧空间的故事。平凡少年小明，携手...,连载中,第82回 顶上决战,https://www.dm5.com/manhua-qooapp-yichangdengru/
53,傲娇萌妻快投降,鱼骨互娱 ,https://mhfm4tel.cdndm5.com/54/53021/20190902105757_180x240.jpg,（每周五更新）在下属眼里，总裁就是 恶魔，坑人于无形之中...,连载中,第32回 你不要缠着他了,https://www.dm5.com/manhua-aojiaomengqikuaitoujiang/
54,凰权之国士无双,星龙传媒 ,https://mhfm3tel.cdndm5.com/46/45016/20190313153852_180x240.jpg,凰权更替，如浪淘沙。当朝皇子宁弈，以天下为局，为陷太子...,连载中,第34回 冤家路窄,https://www.dm5.com/manhua-huangquanzhiguoshiwushuang/
55,恶魔的仙度瑞拉,三月兔 ,https://mhfm1tel.cdndm5.com/37/36180/20170427134205_180x240_21.jpg,欢迎观看恶魔的仙度瑞拉漫画：瞎米？她竟然莫名其妙被那个...,连载中,第19回 试看版,https://www.dm5.com/manhua-emodexianduruila/
