,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
34,仙宫007,Marvel Comics ,https://mhfm7tel.cdndm5.com/15/14788/20150416105211_180x240_16.jpg,洗心革面重新作神的正太Loki以仙宫密探的身份归来！复仇者...,完结,第17话 ,https://www.dm5.com/manhua-xiangong-007/
35,毒液v2,Marvel Comics  ,https://mhfm9tel.cdndm5.com/11/10799/20181112140641_180x240_17.jpg,毒液漫画 ，毒液是MARVEL很经典系列，平行蜘蛛人系列等。,完结,第42话 ,https://www.dm5.com/manhua-duye-v-2/
36,毒液：初代宿主,Marvel Comics ,https://mhfm3tel.cdndm5.com/46/45239/20180919153406_180x240_22.jpg,为了让各位大佬萌新未来看毒液电影的时候更有带入感，这部...,完结,第5话 ,https://www.dm5.com/manhua-duye-chudaisuzhu/
37,奇异博士V4,Marvel Comics  ,https://mhfm6tel.cdndm5.com/22/21232/20151216160918_180x240_35.jpg,奇异博士V4漫画 ，最近奇异似乎遇到了一些不那么寻常出现的...,完结,第387话 ,https://www.dm5.com/manhua-jiyiboshi-v-4/
38,惩罚者：暗影圣战,Marvel Comics ,https://mhfm8tel.cdndm5.com/20/19134/20190626143243_180x240_22.jpg,一切并未结束……暗影世界观下的罚叔故事。,完结,第4话 ,https://www.dm5.com/manhua-chengfazhe-anyingshengzhan/
39,闪电侠,DC Comics ,https://mhfm6tel.cdndm5.com/9/8337/20180730164115_180x240_26.jpg,闪电侠（The Flash）由DC漫画出版，是一个名字包括了四个人...,完结,第52话 ,https://www.dm5.com/manhua-shandianxia/
40,蝙蝠侠：地球最后的骑士,DC Comic ,https://mhfm2tel.cdndm5.com/51/50532/20190529194437_180x240_11.jpg,"废土茫茫，天日无光，蝠影侠士，心碎人伤。
两鬓未苍，剑...",完结,第3话 ,https://www.dm5.com/manhua-bianfuxia-diqiuzuihoudeqishi/
41,X皇室,Marvel Comics ,https://mhfm4tel.cdndm5.com/53/52044/20190725090448_180x240_23.jpg,一个新时代的崛起，一段新史诗的揭幕。在我们的睡梦之中，...,完结,第6话 ,https://www.dm5.com/manhua-x-huangshi/
42,新52海王,DC Comics ,https://mhfm5tel.cdndm5.com/9/8350/20150529163717_180x240_37.jpg,海王漫画 ，传说中古老的亚特兰提斯（Atlantis）大陆静静地...,完结,第52话 ,https://www.dm5.com/manhua-xin-52-haiwang/
43,吞星之女伽娜塔,Adam Warren ,https://mhfm7tel.cdndm5.com/8/7458/7458.jpg,吞星是宇宙的恐惧，而他的女儿却对地球产生好感，但她能控...,完结,第3话 ,https://www.dm5.com/manhua-tunxingzhinvganata/
44,至黑之夜,DC Comics ,https://mhfm8tel.cdndm5.com/7/6427/20180730174902_180x240_28.jpg,"绿灯誓言：
In brightest day, in blackest night,
No ev...",完结,正义联盟#40 ,https://www.dm5.com/manhua-zhiheizhiye/
45,新52蝙蝠侠：不朽传奇,DC Comics ,https://mhfm4tel.cdndm5.com/16/15193/20180507115020_180x240_24.jpg,新52蝙蝠侠：不朽传奇漫画 ，蝙蝠侠75周年纪念作品！出现于...,完结,第52话 ,https://www.dm5.com/manhua-xin-52-bianfuxia-bxcq/
