,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
35,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,赤坂アカ  ,https://mhfm2tel.cdndm5.com/19/18417/20190904142520_180x240_18.jpg,恋爱正是适合天才的游戏！？秀知院学园的学生会长（天才）...,连载中,周刊154 ,https://www.dm5.com/manhua-huiyedaxiaojiexiangrangwogaobai--tiancaimendelianaitounaozhan/
36,想要成为影之实力者,逢沢 大介 ,https://mhfm6tel.cdndm5.com/48/47061/20191013160924_180x240_27.jpg,"『吾乃暗影。潜伏于影、狩猎阴影之人……』
享受类似的中...",连载中,第13话 ,https://www.dm5.com/manhua-xiangyaochengweiyingzhishilizhe/
37,虚构推理,城平京 ,https://mhfm2tel.cdndm5.com/19/18258/20190406104755_180x240_24.jpg,［推理之绊］［吸血鬼十字界］［绝园的暴风雨］城平京老师...,连载中,第29话 死者的不确切传言,https://www.dm5.com/manhua-xugoutuili/
38,圣者无双,秋風緋色 ,https://mhfm3tel.cdndm5.com/42/41093/20190730162935_180x240_18.jpg,命运之神打赌输给了异世界之神，将十个平凡的灵魂送到了异...,连载中,第35.2话 ,https://www.dm5.com/manhua-shengzhewushuang/
39,最后一局,中原裕 ,https://mhfm2tel.cdndm5.com/6/5039/20170810134403_180x240_33.jpg,「操场是努力、专注、潇洒、堂堂正正、充满青春的汗水与泪...,连载中,第431话 出师之时,https://www.dm5.com/manhua-zuihouyiju/
40,从Lv2开始开挂的原勇者候补悠闲的异世界生活,鬼ノ城ミヤ  ,https://mhfm4tel.cdndm5.com/49/48946/20190327142915_180x240_21.jpg,欢迎观看从Lv2开始开挂的原勇者候补悠闲的异世界生活,连载中,公告 ,https://www.dm5.com/manhua-cong-lv-2-kaishikaiguadeyuanyongzhehoubuyouxiandeyishijieshenghuo/
41,超超超超超喜欢你的100个女友,中村力斗、野澤ゆき子 ,https://mhfm9tel.cdndm5.com/58/57165/20200202184326_180x240_29.jpg,截止初中毕业的时候，已经失恋100次的爱城恋太郎。又纯情又...,连载中,第6话 ,https://www.dm5.com/manhua-chaochaochaochaochaoxihuannide-100-genvyou/
42,青之芦苇,小林有吾  ,https://mhfm7tel.cdndm5.com/40/39169/20190709181221_180x240_16.jpg,在爱媛上学的中学三年生青井苇人，在那纤弱的身体中隐藏着...,连载中,第207话 ,https://www.dm5.com/manhua-qingzhiluwei/
43,世界上唯一的魔物使~转职后被误认为了魔王~,堂岛ノリヲ ,https://mhfm1tel.cdndm5.com/50/49610/20190424233117_180x240_22.jpg,不想当勇者的我转职变成魔物使开始了“平静”的生活！,连载中,第6话 去魔之森林,https://www.dm5.com/manhua-shijieshangweiyidemowushi-zhuanzhihoubeiwurenweilemowang/
44,这个勇者明明超强却过分慎重,こゆき ,https://mhfm6tel.cdndm5.com/47/46177/20190511095113_180x240_27.jpg,这个勇者自称“老子明明很强”，却谨慎过头漫画 ，超慎重的...,连载中,第12.2话 病娇军神（后篇）,https://www.dm5.com/manhua-zhegeyongzhezichen-laozimingminghenqiang-quejinshenguotou/
45,原最强剑士憧憬着异世界魔法,天乃ちはる ,https://mhfm6tel.cdndm5.com/42/41484/20190624155023_180x240_23.jpg,世界最强的战士，重生为异世界废材少年！,连载中,第22话 ,https://www.dm5.com/manhua-yuanzuiqiangjianshichongjingzheyishijiemofa/
46,约定的梦幻岛,白井カイウ ,https://mhfm3tel.cdndm5.com/32/31328/20190305111521_180x240_21.jpg,"约定的梦幻岛漫画 ，妈妈说外面的世界好可怕，我不信；
但...",连载中,第147话 ACCUMULATED HATRED,https://www.dm5.com/manhua-yuedingdemenghuandao/
47,灌篮高手全国大赛篇(全彩),井上雄彥 ,https://mhfm2tel.cdndm5.com/8/7312/20150526100857_180x240_22.jpg,这个还用的着介绍吗？！啥都不说了，看不到全国大赛的动画...,连载中,十日谈 ,https://www.dm5.com/manhua-guanlangaoshouquanguodasaipian-quancai/
48,异世界药局,高野聖 ,https://mhfm1tel.cdndm5.com/34/33976/20161130170452_180x240_29.jpg,欢迎观看异世界药局漫画：过于沉迷研究，在半途过労而死的...,连载中,第26话 ,https://www.dm5.com/manhua-yishijieyaoju/
49,实况地下城！Live Dungeon!,ことりりょう ,https://mhfm1tel.cdndm5.com/54/53771/20191119135559_180x240_25.jpg,网游玩家白魔道士、利用回复外挂在异世界引发革命！游戏玩...,连载中,第17.1话 ,https://www.dm5.com/manhua-shikuangdixiacheng-live-dungeon/
50,真・异种格斗大战,相原コージ ,https://mhfm2tel.cdndm5.com/16/15608/20151222095623_180x240_26.jpg,真?异种格斗大战漫画 ，世界上最强的16种生物将在非洲大陆...,连载中,第133话 ,https://www.dm5.com/manhua-zhen-yizhonggedoudazhan/
51,龙珠超,鸟山明  とよたろう  ,https://mhfm2tel.cdndm5.com/19/18657/20181206102059_180x240_23.jpg,《龙珠超》是在发生在布欧战之后的故事。破坏神比鲁斯为了...,连载中,第55话 梅雨斯的真实身份,https://www.dm5.com/manhua-longzhuchao/
52,培育了100位英雄的最强预言家、即使成为了冒险者也被世界各地的弟子们所爱戴,あまうい白一 ,https://mhfm8tel.cdndm5.com/54/53415/20190915100813_180x240_22.jpg,培养了100个英雄，结束了与邪神的战争的预言家艾杰恩，在某...,连载中,第7.2话 ,https://www.dm5.com/manhua-peiyule-100/
53,强者的新传说,阿部正行  ,https://mhfm3tel.cdndm5.com/22/21321/20151223114628_180x240_33.jpg,强者的新传说漫画 ，干掉魔王凯尔漠然回首，发现自己珍视的...,连载中,第71话 ,https://www.dm5.com/manhua-jiangzhedexinchuanshui/
54,获得超弱技能「地图化」的少年与最强队伍一起挑战迷宫,savan ,https://mhfm3tel.cdndm5.com/54/53329/20190908195543_180x240_27.jpg,获得超弱技能【地图化】的诺特遭儿时玩伴的抛弃、陷入失意...,连载中,第10话 新的修行,https://www.dm5.com/manhua-huodechaoruojineng-dituhua-deshaonianyuzuiqiangduiwuyiqitiaozhanmigong/
55,女儿的朋友,萩原あさ美 ,https://mhfm5tel.cdndm5.com/54/53003/20190822231828_180x240_13.jpg,作为父亲在家里和公司的股长一直生活在“理想的自我”中。 ...,连载中,设定集 ,https://www.dm5.com/manhua-nverdepengyou/
56,拂晓的尤娜,草凪みずほ ,https://mhfm7tel.cdndm5.com/7/6978/20171222085035_180x240_28.jpg,爱恨缠绵的三角，或多角……,连载中,第183话 落幕,https://www.dm5.com/manhua-fuxiaodeyouna/
57,回天逆命～死亡重生、为了拯救一切成为最强,shiryu ,https://mhfm4tel.cdndm5.com/54/53553/20190923095519_180x240_23.jpg,家人、挚友、所爱之人——皆遭战争夺去而失去一切，最终力...,连载中,第11话 ,https://www.dm5.com/manhua-huitianniming-siwangchongsheng-weilezhengjiuyiqiechengweizuiqiang/
58,如果有来生，还愿意与我结婚吗？,森永ミク  ,https://mhfm1tel.cdndm5.com/43/42089/20180513233818_180x240_20.jpg,如果有来生，还愿意与我结婚吗？漫画 ，如果有来生，还愿意...,连载中,第20话 ,https://www.dm5.com/manhua-ruguoyoulaisheng-haiyuanyiyuwojiehunma/
59,请你回去吧！阿久津同学,长冈太一 ,https://mhfm9tel.cdndm5.com/53/52149/20190729211005_180x240_20.jpg,不喜欢上课的不良女孩·阿久津同学，不知为何总是往一个人住...,连载中,第27话 ,https://www.dm5.com/manhua-qingnihuiquba-ajiujintongxue/
60,放课后少年花子君,あいだいろ  ,https://mhfm2tel.cdndm5.com/44/43896/20190320104553_180x240_26.jpg,海鸥学院七大不可思议之一“厕所里的花子君”和他的助手八...,连载中,第15话 ,https://www.dm5.com/manhua-fangkehoushaonianhuazijun/
61,关于前辈很烦人的事,しろまんた  ,https://mhfm4tel.cdndm5.com/42/41629/20190618161358_180x240_19.jpg,恋爱的酸臭味！！,连载中,桃奈小姐的夏天 ,https://www.dm5.com/manhua-guanyuqianbeihenfanrendeshi/
62,你们先走我断后,阿倍野茶子 ,https://mhfm3tel.cdndm5.com/53/52304/20190803215930_180x240_21.jpg,10年前，在次元间隙，面对袭来的大量魔神，我对队友说道。...,连载中,第5话 ,https://www.dm5.com/manhua-nimenxianzouwoduanhou/
63,简明易懂的SCP,松(A･TYPEcorp.) ,https://mhfm2tel.cdndm5.com/38/37552/20170718101605_180x240_13.jpg,利用漫画的形式简明易懂的介绍SCP……,连载中,第161话 ,https://www.dm5.com/manhua-jianmingyidongde-scp/
64,Honey Come Honey,白石由希 ,https://mhfm6tel.cdndm5.com/37/36910/20190829145159_180x240_23.jpg,欢迎观看honey come honey漫画：外表超萌超软美少女与外表...,连载中,第27话 不要说谎,https://www.dm5.com/manhua-honey-come-honey/
