,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
58,绿灯侠-黑星,DC Comics ,https://mhfm8tel.cdndm5.com/55/54620/20191107152019_180x240_22.jpg,衔接在绿灯侠第一季与第二季之间的过渡短篇，但莫里森的火...,连载中,第3话 ,https://www.dm5.com/manhua-lvdengxia-heixing/
59,meme娘,Merryweatherey  ,https://mhfm3tel.cdndm5.com/56/55773/20191211101009_180x240_11.jpg,欢迎观看meme娘漫画,连载中,第5话 ,https://www.dm5.com/manhua-meme-niang/
60,X特攻队V6,Marvel Comics ,https://mhfm8tel.cdndm5.com/55/54606/20191107091503_180x240_24.jpg,X黎明的又一本新刊，或许也将是其中最爽快最暴力的一部。随...,连载中,第7话 ,https://www.dm5.com/manhua-x-tegongdui-v-6/
61,蝙蝠侠群英会V1,DC Comics  ,https://mhfm8tel.cdndm5.com/58/57391/20200207183219_180x240_21.jpg,蝙蝠侠群英会是一各国际反犯罪组织，国际反犯罪组织“蝙蝠...,连载中,第6话 ,https://www.dm5.com/manhua-bianfuxiaqunyinghui-v-1/
62,格林成人童话,zenescope ,https://mhfm7tel.cdndm5.com/15/14534/20150413151940_180x240_28.jpg,格林成人童话漫画 ，Grimm Fairy Tales is a horror comic ...,连载中,第13话 ,https://www.dm5.com/manhua-gelinchengrentonghua/
63,托尔V9,Marvel Comics  ,https://mhfm4tel.cdndm5.com/57/56313/20200101191552_180x240_22.jpg,新的一年，新的身份，新的形象，新的故事。当王者的身份成...,连载中,第3话 ,https://www.dm5.com/manhua-tuoer-v-9/
64,死侍v3,Marvel Comics  ,https://mhfm6tel.cdndm5.com/11/10545/20150407165336_180x240_29.jpg,欢迎来到温威当下的死侍，我知道你们都在想什么，但这不是...,连载中,第45话 ,https://www.dm5.com/manhua-sishi-v-3/
65,蛛丝v2,Marvel Comics ,https://mhfm7tel.cdndm5.com/22/21113/20151202221834_180x240_18.jpg,蛛丝2016漫画 ，蜘蛛宇宙事件之后辛迪回到了纽约，一边与罪...,连载中,第16话 ,https://www.dm5.com/manhua-zhusi-2016/
66,惊奇女士v2,Marvel Comics ,https://mhfm4tel.cdndm5.com/16/15566/20190104203155_180x240_21.jpg,惊奇女士v2漫画 ，来自于复仇者，惊奇女士的个人连载！,连载中,第44话 ,https://www.dm5.com/manhua-jingqinvshi-v-2/
67,成人童话,Bill Willingham ,https://mhfm9tel.cdndm5.com/8/7497/20160830161343_180x240_21.jpg,"童话人物是不死的, 他们活在人们的心中......至少, 在每个...",连载中,第4话 ,https://www.dm5.com/manhua-chengrentonghua/
68,超杀女,马克·米勒 ,https://mhfm6tel.cdndm5.com/42/41156/20180312000949_180x240_26.jpg,你看过2010年的动作喜剧片《海扁王》吗？有没有对里面科洛·...,连载中,第6话 ,https://www.dm5.com/manhua-chaoshanv1/
69,新52哈莉·奎茵,DC Comics ,https://mhfm5tel.cdndm5.com/15/14560/20180828235517_180x240_26.jpg,新52哈莉·奎茵漫画 ，哈莉·奎茵是美国DC漫画公司著名漫画《...,连载中,哈莉与自杀小队愚人节特刊 ,https://www.dm5.com/manhua-xin-52-hali-kuiyin/
70,恶棍之年-地狱崛起,DC Comics ,https://mhfm3tel.cdndm5.com/56/55975/20191219142430_180x240_29.jpg,当珀佩图阿重塑多元宇宙的计划一步步走向终点，她却发现面...,连载中,第2话 ,https://www.dm5.com/manhua-diyujueqi/
71,达斯维达,Marvel Comics  ,https://mhfm3tel.cdndm5.com/20/19128/20150803134703_180x240_16.jpg,达斯维达漫画 ，故事承接星战电影正传第一部。死星被毁后达...,连载中,第15话 ,https://www.dm5.com/manhua-dasiweida/
72,RWBY,DC Comics ,https://mhfm8tel.cdndm5.com/54/53167/20190829134741_180x240_20.jpg,DC Comics与Rooster Teeth联合出品的RWBY官方漫画,连载中,第8话 ,https://www.dm5.com/manhua-rwby-dc/
73,蝙蝠侠之墓,DC Comics  ,https://mhfm2tel.cdndm5.com/54/53849/20191009190155_180x240_23.jpg,Warren Ellis与Bryan Hitch 这对曾经创造历史的传奇二人组...,连载中,第5话 ,https://www.dm5.com/manhua-bianfuxiazhimu/
74,哈罗县传说：死亡唱诗班,Dark Horse Comics  ,https://mhfm5tel.cdndm5.com/58/57128/20200130191154_180x240_23.jpg,曾提名艾斯纳奖的哥特恐怖漫画系列《哈罗县》推出了全新故...,连载中,第3话 ,https://www.dm5.com/manhua-haluoxianchuanshuo-siwangchangshiban/
75,绿灯侠,DC Comics ,https://mhfm3tel.cdndm5.com/9/8313/20150508112731_180x240_23.jpg,自从1940年被创建以来，Green Lantern绿灯侠一直在众多超级...,连载中,第52话 ,https://www.dm5.com/manhua-lvdengxia/
76,若现若离,PEACH-PIT  Merryweatherey  ,https://mhfm9tel.cdndm5.com/56/55881/20191215121549_180x240_17.jpg,以莎士比亚最著名的背景人物为原型，描写唇齿相依的两人对...,连载中,第8话 ,https://www.dm5.com/manhua-ruoxianruoli/
