,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,是否已下载,百度云分享链接,提取码,是否发布
47,网球优等生,勝木光 ,https://mhfm5tel.cdndm5.com/7/6109/20150423155136_180x240_21.jpg,故事的主人翁—尾崎荣一郎，是个功课一直都拿优等的高中一...,完结,第455话 babysteps,https://www.dm5.com/manhua-wangqiuyoudengsheng/,,,,
48,哥哥的女友,军三郎  ,https://mhfm8tel.cdndm5.com/58/57378/20200206215248_180x240_16.jpg,家里来了个貌似是哥哥的女朋友的人，漂亮又温柔，给老哥太...,完结,第2话 ,https://www.dm5.com/manhua-gegedenvyou/,,,,
49,高中生新娘,悠妃龙 ,https://mhfm3tel.cdndm5.com/6/5674/20141212142949_180x240_22.jpg,很梦幻的故事，一共有两季。很符合少女心！ 霸道的男主，坚...,完结,第10话 ,https://www.dm5.com/manhua-gaozhongshengxinniang/,,,,
50,魔界的大叔,ONE ,https://mhfm2tel.cdndm5.com/15/14313/20190313100613_180x240_21.jpg,"魔界的大叔漫画 ，不定期连载再开。
「一击男」「灵能百分...",完结,节分特别篇 ,https://www.dm5.com/manhua-mojiededashu/,,,,
51,你不喜欢的恋爱的事,三月ソラ  ,https://mhfm5tel.cdndm5.com/38/37967/20170812230926_180x240_25.jpg,你不喜欢的恋爱的事漫画：又名那小子真坏，因老好人特质发...,完结,单行番外加笔 ,https://www.dm5.com/manhua-nibuxihuandelianaideshi/,,,,
52,滑头鬼之孙,椎桥宽 ,https://mhfm7tel.cdndm5.com/5/4679/20190108150033_180x240_37.jpg,当太阳西下便是逢魔之时。 继承了妖怪总帅·滑头鬼之血的奴...,完结,滑头鬼x派出所短篇 ,https://www.dm5.com/manhua-huatouguizhisun/,,,,
53,幸存炼金术师想在城里静静生活,沟口ぐる ,https://mhfm7tel.cdndm5.com/47/46625/20181205114040_180x240_21.jpg,幸存炼金术师想在城里静静生活漫画 ，恩达鲁齐亚王国，因为...,完结,完结通知 ,https://www.dm5.com/manhua-xingcunlianjinshushixiangzaichenglijingjingshenghuo/,,,,
54,妖狐X仆SS,藤原ここあ ,https://mhfm8tel.cdndm5.com/7/6503/20190505223800_180x240_13.jpg,画风超赞内容很好女主萌男主萌配角萌也不河蟹所以强本作故...,完结,第49话 最终话,https://www.dm5.com/manhua-yaohu-x-pu-ss/,,,,
55,AKB49,宫岛礼吏 ,https://mhfm1tel.cdndm5.com/8/7321/20150325143408_180x240_26.jpg,而如今一部名为《AKB49～恋爱禁止条例～》的漫画的公布，更...,完结,fanbox ,https://www.dm5.com/manhua-akb-49/,,,,
56,请倾听死者的声音,祥子 ,https://mhfm8tel.cdndm5.com/14/13227/20171008085434_180x240_19.jpg,你知道ta们在说什么吗……,完结,第78话 青叶町默示录（后篇） ,https://www.dm5.com/manhua-qqtszdsy/,,,,
57,高分少女,押切莲介 ,https://mhfm5tel.cdndm5.com/11/10015/20181226112043_180x240_17.jpg,高分少女漫画 ，她是和我处在完全不同世界的人……因为……,完结,外传：7 ,https://www.dm5.com/manhua-gaofenshaonv/,,,,
58,结界师,田边伊卫郎 ,https://mhfm9tel.cdndm5.com/1/589/20190107161229_180x240_29.jpg,结界师·墨村家22代（预定）——墨村良守从小在爷爷的严格教...,完结,第345话 ,https://www.dm5.com/manhua-jiejieshi/,,,,
59,翼Tsubasa,CLAMP ,https://mhfm2tel.cdndm5.com/2/1260/20190805152704_180x240_27.jpg,住在玖楼国的小狼和小樱，两人克服立场的不同，心意相通，...,完结,第233话 ,https://www.dm5.com/manhua-yi-tsubasa/,,,,
60,成为我的新娘吧,佐野爱莉 ,https://mhfm9tel.cdndm5.com/17/16061/20190204164454_180x240_24.jpg,成为我的新娘吧漫画 ，突然要成为有钱人的新娘？ 年幼，横...,完结,第58话 ,https://www.dm5.com/manhua-chengweiwodexinniangba/,,,,
61,堀桑与宫村君,HERO ,https://mhfm6tel.cdndm5.com/11/10346/10346_b.jpg,《堀桑与宫村君》，简称《堀宫》，是作者HERO于2007年2月开...,完结,第145话 ,https://www.dm5.com/manhua-kusangyugongcunjun/,,,,
62,恋爱暴君,三星めがね ,https://mhfm5tel.cdndm5.com/10/9873/20190304091823_180x240_30.jpg,“虽然很突然，你要是不亲吻的话，就会死掉！”某一天，男...,完结,单行附赠 ,https://www.dm5.com/manhua-lianaibaojun2/,,,,
63,阳子同学超级黏人,スズモトコウ  ,https://mhfm3tel.cdndm5.com/45/44906/20180831141905_180x240_22.jpg,阳子同学超级黏人漫画 ，倒贴撩汉的恋爱喜剧,完结,番外（1） ,https://www.dm5.com/manhua-yangzitongxuechaojinianren/,,,,
64,狼陛下的花嫁,可歌真都 ,https://mhfm6tel.cdndm5.com/16/15040/20190612143023_180x240_25.jpg,狼陛下的花嫁漫画 ，身为白阳国下级官员的女儿·汀夕铃，听...,完结,第105话 ,https://www.dm5.com/manhua-langbixiadehuajia/,,,,
65,有你的小镇,瀨尾 ,https://mhfm5tel.cdndm5.com/5/4885/4885_b.jpg,这个春天就要进入高中的少年桐岛青大家里，出现了一位一次...,完结,外传：12 露茜娅×小镇[特别篇],https://www.dm5.com/manhua-younidexiaozhen/,,,,
